b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
228	113	49	20	379	282	82	57	82	215
294	182	59	34	519	479	101	93	67	233
921	380	179	80	1188	751	236	157	68	240
742	1098	148	217	880	1405	176	279	69	259
1031	665	206	129	1499	1193	289	225	69	273
5	90	1	18	449	661	86	128	69	273
356	1	68	0	569	384	107	75	70	274
44	928	9	191	195	1216	43	256	11	297
6	858	1	180	179	1061	39	223	59	318
585	983	116	199	703	1126	143	232	72	358
970	215	195	46	1504	1437	300	289	72	374
964	939	185	191	1211	1236	234	252	74	405
215	158	40	30	824	816	155	157	75	416
317	1023	59	215	701	1454	135	300	77	461
706	5	136	1	919	212	176	42	77	462
935	606	180	119	1328	1212	256	235	77	462
1336	743	258	137	1566	1170	300	220	77	465
258	1130	53	240	512	1362	102	284	79	475
538	644	107	129	690	820	140	167	79	477
1117	462	199	92	1652	1020	300	200	80	535
1	1020	0	200	473	1518	94	300	81	535
928	286	161	59	1047	417	185	86	80	536
473	1	94	0	642	194	128	39	81	536
1099	1149	212	229	1323	1332	256	264	83	572
731	1148	135	238	1072	1446	208	300	84	576
383	422	78	80	1323	1501	254	300	85	579
1	358	0	73	428	736	77	153	86	580
5	176	1	34	153	377	30	72	74	586
999	878	197	173	1188	1415	234	279	62	594
169	603	32	121	731	1354	146	274	31	595
847	1179	168	224	1241	1563	244	300	32	602
441	1241	83	244	552	1372	109	273	32	604
175	120	35	24	832	853	168	171	34	609
1231	149	245	29	1397	537	281	112	100	612
1	80	0	16	714	1366	142	280	35	616
690	18	131	4	995	400	190	76	86	618
656	921	129	186	1116	1496	217	299	87	619
952	539	183	108	1548	1312	300	274	88	629
1113	581	210	116	1573	1155	300	237	40	641
1262	863	242	174	1404	1040	272	210	41	644
456	550	88	112	635	732	123	149	42	646
836	235	163	44	1330	778	255	157	42	647
16	495	2	101	246	815	48	165	90	651
1122	1077	225	211	1434	1268	289	251	90	657
