b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
393	1115	74	214	772	1522	150	294	1012	321
548	32	105	7	874	507	171	107	87	566
445	740	89	155	1094	1449	218	299	934	598
1217	334	254	70	1465	544	300	114	941	598
1285	607	260	123	1457	774	296	158	934	599
689	298	139	59	1465	1065	301	217	937	602
0	1065	0	217	182	1242	42	258	938	602
1295	1203	254	245	1525	1489	297	300	927	607
1046	274	202	56	1349	638	263	130	940	607
502	0	97	0	1222	713	244	145	1033	607
658	476	124	96	1177	622	230	127	1035	607
0	37	0	8	288	295	61	63	928	608
551	977	108	196	1093	1505	217	300	1032	612
478	497	96	100	687	705	136	140	940	615
1303	497	260	100	1502	701	298	139	1033	615
924	466	185	94	1156	740	235	153	938	675
1363	1298	269	277	1467	1402	292	300	771	717
27	771	5	159	324	1052	69	219	393	859
94	0	20	0	324	222	69	47	393	860
6	186	1	41	213	844	40	167	444	862
1023	54	199	12	1714	732	301	112	449	868
229	638	46	126	512	935	102	184	570	874
190	409	41	77	382	603	80	116	514	877
691	18	138	4	1089	410	215	84	458	881
1028	676	201	136	1276	939	250	188	458	883
0	1055	0	204	419	1433	81	281	662	950
656	878	123	183	1232	1467	229	299	436	963
293	329	48	67	678	689	127	138	808	1026
986	734	178	146	1606	1502	298	300	818	1038
0	19	0	3	1483	1425	291	282	819	1039
66	485	14	101	516	1077	106	222	819	1041
1423	544	268	115	1595	754	300	155	821	1041
1207	957	234	191	1405	1161	277	236	809	1045
349	9	73	2	656	288	129	53	500	1242
1146	759	218	154	1386	957	268	195	165	1253
1146	880	218	183	1386	1106	268	229	165	1254
1189	5	228	1	1540	470	301	95	165	1255
0	470	0	95	227	752	46	154	166	1255
168	1040	26	207	441	1334	80	266	628	1259
798	595	155	118	1171	1014	225	200	624	1262
1173	211	224	44	1498	492	293	102	433	1283
168	573	34	117	460	819	91	170	507	1287
496	386	102	78	954	819	193	170	508	1287
164	379	30	74	356	591	70	118	516	1299
1037	1266	194	260	1226	1444	236	300	500	1302
130	0	26	0	306	169	64	37	497	1312
703	893	146	187	1159	1397	236	294	503	1312
94	1118	16	225	445	1468	91	300	504	1314
1011	382	200	78	1258	583	247	120	513	1314
434	976	79	194	684	1115	134	225	479	1315
445	0	91	0	1206	640	241	122	504	1315
448	589	93	111	1017	1200	208	243	518	1315
1267	113	250	24	1520	350	301	72	62	1325
326	244	59	48	892	1052	179	216	492	1337
560	827	110	174	1127	1364	228	286	472	1342
1013	0	204	0	1497	510	301	102	472	1343
0	510	0	102	762	1063	150	215	473	1343
0	531	0	115	792	1191	157	252	472	1344
25	642	5	124	554	1197	118	244	497	1345
466	95	92	18	925	541	186	110	507	1346
736	598	139	116	1455	967	284	188	500	1348
157	804	30	170	328	1126	67	239	333	1355
760	399	142	80	1117	773	217	156	491	1379
572	447	116	93	1366	1350	278	277	532	1401
1145	897	226	185	1338	1188	266	243	538	1401
1032	131	202	29	1404	639	280	135	538	1402
1314	149	244	33	1466	306	275	66	550	1402
897	304	183	63	1259	1023	251	208	519	1404
688	304	119	63	1242	755	235	157	530	1404
559	602	102	125	742	794	139	165	601	1406
371	742	66	160	566	955	107	204	598	1409
735	361	139	69	1036	847	204	175	644	1411
443	496	88	100	1202	1146	232	231	501	1422
1176	310	228	54	1538	710	301	135	501	1424
635	1125	132	217	1103	1461	225	287	502	1424
877	13	177	3	1248	380	256	77	502	1425
464	632	89	122	926	1054	182	203	483	1431
721	1003	130	195	997	1357	183	264	678	1435
1258	784	239	165	1548	1066	299	223	496	1444
262	1087	52	216	548	1379	111	276	660	1449
