b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
0	247	0	50	162	484	33	100	308	174
924	399	154	77	1488	1071	258	210	325	178
1085	0	195	0	1703	587	304	119	326	185
898	1316	167	263	1043	1475	196	294	520	682
667	542	122	98	898	1213	167	222	520	688
667	409	122	79	827	850	154	165	520	690
678	510	132	90	1097	1269	211	236	300	760
871	810	169	155	1097	1047	211	198	300	761
886	13	180	3	1131	235	227	52	245	925
393	470	64	87	683	611	119	115	863	975
43	629	8	121	309	968	63	190	69	1046
1219	639	223	123	1430	854	267	168	868	1046
506	891	95	175	762	1155	148	228	869	1046
1399	363	264	65	1615	746	302	130	526	1115
1162	0	222	0	1548	330	302	66	643	1160
0	330	0	66	428	688	92	144	644	1160
758	1106	150	226	1159	1485	227	299	644	1164
