b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1468	889	270	167	1604	1292	298	244	686	36
967	0	182	0	1616	330	300	61	687	37
959	1248	191	233	1544	1602	299	297	689	37
36	986	7	183	386	1220	76	228	689	37
19	25	4	4	581	484	114	91	690	38
856	513	170	96	1260	874	248	165	690	38
366	1041	67	194	1190	1598	224	296	691	38
5	257	1	52	1279	1241	254	241	692	39
227	966	45	188	784	1521	154	300	694	39
784	0	154	0	1145	347	228	69	694	40
592	553	114	106	944	833	184	160	695	40
0	472	0	92	236	659	45	127	695	40
191	359	33	67	871	896	163	169	360	276
146	3	30	1	849	560	162	102	460	294
470	23	97	6	1492	910	298	176	30	295
8	910	1	176	874	1555	174	300	31	295
258	103	48	23	1075	563	204	111	32	296
786	878	163	172	1434	1246	295	244	36	296
614	1391	125	271	780	1527	161	300	38	296
