b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1213	935	209	184	1401	1117	243	219	47	4088
0	1278	0	257	213	1490	40	297	95	3769
218	292	43	63	419	745	80	151	158	3788
540	591	107	119	938	1005	188	205	248	220
1339	276	241	59	1636	621	298	123	462	561
1259	597	236	119	1412	710	268	143	730	5188
279	1270	54	258	395	1386	80	284	841	3969
687	1138	135	226	891	1378	177	274	991	3679
149	459	26	90	672	1075	132	214	991	3680
6	40	1	8	322	299	61	57	1441	993
618	328	105	63	1120	696	202	131	1444	993
194	79	37	14	376	345	70	62	1565	1936
1275	53	230	11	1428	206	261	42	1607	3694
