b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
927	1148	177	240	1163	1400	230	295	60	576
924	835	176	175	1201	1170	237	246	60	618
0	8	0	2	424	528	85	112	612	751
5	861	1	185	485	1425	102	298	650	2248
797	32	158	7	998	257	199	54	557	4117
423	70	80	16	816	508	158	102	73	4317
1253	338	252	70	1426	526	289	111	620	4336
964	298	187	61	1395	749	263	143	647	5281
135	906	26	195	523	1404	103	294	646	5282
863	1166	160	242	993	1287	188	268	550	5308
974	82	193	18	1157	302	230	63	625	5458
333	654	64	141	980	1412	200	299	337	5846
0	412	0	86	150	554	33	118	406	5896
1061	0	216	0	1186	129	240	25	630	5919
1136	1146	227	230	1426	1489	282	299	554	6640
313	264	62	53	865	1129	173	227	554	6640
