b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
350	15	74	3	801	447	156	88	29	73
801	41	156	9	1250	717	246	150	29	2683
1284	61	253	11	1491	414	298	87	29	2684
15	558	3	115	164	912	30	187	30	2684
929	938	179	198	1225	1375	238	287	83	1893
1234	947	242	198	1537	1283	299	262	107	221
1158	11	234	2	1328	355	268	75	172	901
821	454	165	91	1378	1120	278	229	172	2630
49	158	9	29	658	1129	129	226	180	1073
278	1	51	0	659	455	121	84	208	362
762	991	148	190	1055	1334	207	258	229	383
721	1033	140	201	1055	1489	207	294	229	3524
