b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
725	261	140	50	1615	724	300	133	123	214
635	971	119	175	1359	1697	243	300	124	210
1359	1	243	0	1668	309	300	57	124	211
1	724	0	133	266	989	53	186	124	214
1	309	0	57	159	467	31	88	125	211
156	877	30	162	908	1628	168	300	125	212
908	1	168	0	1665	752	300	131	125	213
441	464	88	87	1630	1652	300	299	126	211
1	752	0	131	441	1197	88	220	126	213
6	1	1	0	883	877	163	162	127	212
883	1197	163	220	1301	1616	243	300	127	213
1301	1	243	0	1526	226	286	43	127	214
1083	1323	194	239	1505	1623	277	300	170	11
