b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
669	608	132	115	1048	950	211	187	13	382
1240	459	239	86	1342	561	261	108	18	4033
187	598	37	114	1192	1435	246	285	19	4033
0	17	0	3	833	716	160	135	20	4034
644	864	121	178	795	1118	151	230	20	4298
274	1172	54	230	642	1545	124	300	21	541
642	0	124	0	1545	1155	300	225	21	542
306	0	60	0	1098	812	207	150	22	543
436	825	77	171	1218	1571	215	300	52	3021
1218	0	215	0	1352	135	239	24	52	3022
1171	606	219	118	1322	807	249	157	54	298
393	0	80	0	1061	308	209	61	65	4091
791	725	150	143	1168	1059	224	208	68	895
513	380	103	69	607	474	124	90	89	846
1315	669	260	129	1503	886	300	174	91	297
191	574	36	109	314	694	61	133	91	1604
0	886	0	174	155	1293	31	251	92	297
