b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
8	488	2	91	160	642	33	123	20	2
825	248	168	49	1254	360	247	71	20	3
753	635	147	121	1215	1314	240	256	44	7
358	573	70	112	490	699	95	137	49	65
1125	838	224	165	1284	987	254	193	96	58
1144	404	240	77	1320	516	277	100	97	39
671	1081	144	209	933	1229	197	239	97	58
11	658	2	130	188	829	35	161	99	56
221	984	46	192	384	1166	76	225	103	10
824	78	163	16	944	190	188	39	103	38
50	1305	9	244	164	1414	31	265	106	40
687	948	138	181	1075	1052	221	204	106	44
268	1349	53	262	477	1541	95	300	107	3
0	368	0	69	932	1209	178	226	113	40
170	210	33	42	328	360	64	71	114	61
888	360	175	71	1001	507	198	101	114	61
149	1427	30	277	261	1535	53	299	115	54
265	215	54	40	435	373	90	73	115	57
719	819	145	158	831	1002	168	195	115	61
0	98	0	20	145	307	29	61	115	62
1237	1322	256	245	1401	1478	290	277	117	47
1015	1045	210	202	1233	1251	255	244	117	61
993	1342	213	260	1130	1470	242	286	119	10
993	858	213	170	1401	1237	300	249	119	59
223	1259	41	234	1253	1597	246	300	122	45
823	375	166	73	936	484	191	97	129	1
1192	784	233	149	1500	1085	295	209	134	2
520	927	103	178	748	1143	153	225	138	3
285	207	55	40	519	429	104	86	143	55
583	429	119	86	692	534	141	107	144	55
773	1365	160	273	922	1505	189	300	146	59
922	0	189	0	1286	209	263	42	146	60
181	184	34	37	439	372	84	73	147	60
212	1181	45	232	328	1293	68	254	149	54
592	79	121	14	878	188	177	36	150	48
415	445	79	89	659	636	126	124	153	62
21	563	5	103	181	712	41	136	155	63
733	891	143	173	1066	1114	213	220	157	56
424	1245	87	242	902	1492	182	295	160	58
917	1157	181	232	1084	1318	214	264	161	18
560	1159	108	228	742	1333	141	259	164	3
405	806	79	154	765	1152	153	223	170	36
16	354	3	66	394	657	76	124	178	41
115	1280	24	252	270	1514	56	300	181	2
696	758	141	142	1138	1199	234	228	183	41
1044	932	205	189	1196	1078	235	217	186	50
1305	713	260	142	1482	883	295	175	186	55
109	454	21	85	226	567	44	107	188	49
2	423	1	82	332	634	65	120	193	46
791	1440	174	271	901	1547	200	295	195	32
542	460	115	89	1202	1386	250	283	196	64
262	0	53	0	440	192	93	42	197	65
1039	297	213	58	1445	461	291	91	202	59
22	461	5	91	366	733	75	144	203	59
896	733	182	144	1196	842	244	167	203	59
65	1217	13	236	190	1388	37	270	206	27
1333	254	263	49	1496	405	300	83	207	5
219	1392	43	260	334	1503	67	283	207	49
562	35	109	7	932	276	182	53	209	25
85	371	17	69	416	610	85	119	211	25
1236	1027	244	198	1457	1236	289	240	212	7
804	1219	167	244	1005	1404	211	282	214	57
88	18	20	4	647	208	132	40	214	59
841	955	160	190	986	1092	186	214	216	55
800	662	167	124	983	833	202	156	224	4
70	304	16	57	211	437	43	82	225	49
239	1140	45	217	559	1562	108	300	230	25
1191	418	230	82	1525	856	296	171	230	26
35	888	6	177	525	1294	106	258	231	26
835	1043	161	205	963	1165	187	229	235	54
20	1114	4	218	237	1319	45	256	235	55
78	1430	18	268	267	1604	52	299	237	40
155	502	31	93	491	719	93	135	242	45
417	645	83	125	524	749	105	146	243	39
804	48	163	9	915	156	192	37	243	50
611	497	130	99	787	715	163	140	245	48
1297	715	261	140	1476	883	300	176	245	48
0	883	0	176	504	1306	101	259	246	48
622	267	128	49	1091	388	219	73	246	63
674	595	137	114	1008	908	203	174	255	3
1134	714	234	133	1475	1085	299	201	258	46
729	891	141	180	1242	1161	244	233	259	57
738	540	148	115	847	645	172	138	261	50
138	144	26	29	305	303	56	57	266	41
559	75	108	13	1330	591	261	117	268	56
1334	816	262	162	1523	1043	300	206	268	60
1231	1184	237	230	1532	1473	300	287	269	60
139	575	31	113	634	732	130	146	270	57
72	738	14	147	233	891	49	180	271	57
31	800	7	151	143	908	29	172	274	63
203	1235	41	245	646	1487	129	295	275	56
607	0	123	0	803	187	161	35	277	57
854	691	167	140	975	807	194	165	281	43
1272	413	249	87	1387	524	275	112	282	50
325	0	71	0	1276	785	260	154	283	27
305	803	57	158	618	1051	116	204	284	27
787	975	159	192	947	1127	193	224	286	38
379	1127	75	224	698	1453	142	291	287	38
1297	814	258	150	1517	1020	299	188	288	49
929	1185	186	219	1384	1356	281	254	289	46
129	739	25	136	647	1023	126	191	293	47
