b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1024	633	187	128	1367	985	252	194	62	4082
551	120	100	26	1319	989	236	184	72	1284
1371	1466	244	273	1479	1574	266	295	73	2238
1371	946	244	194	1639	1106	295	225	73	2405
710	17	122	2	954	314	165	55	75	2645
597	470	114	93	947	880	192	184	76	2389
955	1099	170	205	1182	1279	215	239	197	2212
1199	307	219	60	1317	425	241	82	197	2216
36	1	6	0	848	1334	151	249	197	2218
1173	421	234	81	1291	536	259	105	210	3115
696	29	140	5	800	133	162	27	237	705
843	1121	159	213	1157	1424	225	277	241	446
945	1121	182	210	1318	1505	258	287	241	447
87	1	17	0	402	275	77	51	242	799
347	62	69	12	535	265	109	55	243	809
1	1094	0	204	291	1336	55	251	244	961
485	1	88	0	665	213	124	41	244	962
1428	1077	274	212	1564	1202	300	236	245	822
88	589	19	114	283	888	55	169	245	934
1	1202	0	236	164	1365	32	268	246	822
538	1	101	0	867	370	169	74	246	936
773	1107	155	217	1168	1492	238	300	247	2557
867	756	160	144	1045	920	197	178	248	95
1416	718	274	133	1559	862	300	159	248	4085
1401	1299	271	254	1547	1445	300	283	249	105
1	862	0	159	664	1561	133	300	249	4085
664	1	133	0	954	288	188	54	249	4086
687	209	129	40	896	420	169	80	251	1411
549	1206	93	227	803	1488	146	285	255	2213
980	480	180	100	1532	1052	283	206	255	2214
146	9	30	2	558	727	109	133	257	12
1014	919	182	182	1276	1197	236	238	270	1106
1289	559	239	115	1514	793	285	164	270	1116
698	902	132	177	1158	1400	227	276	280	3642
