b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1169	964	221	190	1361	1348	256	262	159	16
94	1236	16	235	437	1580	81	300	160	57
437	1	81	0	628	192	114	33	160	58
1243	1223	233	237	1467	1446	279	283	161	52
1	845	0	167	340	1183	63	230	162	52
52	393	11	78	501	1167	96	225	198	44
508	6	94	1	1625	1158	300	214	214	80
319	684	62	128	1035	1386	200	261	215	30
1251	600	233	119	1584	1267	300	247	226	35
469	1	91	0	640	172	126	34	227	9
938	304	183	57	1381	802	267	152	227	58
764	939	136	188	931	1104	170	222	228	13
1029	399	187	79	1310	679	242	134	228	44
1	947	0	168	406	1359	68	238	228	83
345	459	58	88	511	627	92	122	245	47
