b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1291	605	255	118	1460	770	286	148	93	2
131	57	29	11	506	382	96	68	32	23
1160	508	233	105	1366	809	273	164	17	109
284	1	60	0	490	203	103	42	103	121
237	299	44	60	567	643	108	126	66	325
1223	633	249	123	1392	790	285	156	36	338
694	442	141	91	1112	833	225	169	70	473
381	442	73	91	816	833	159	169	71	473
631	98	126	19	887	344	172	64	73	491
206	60	39	10	586	369	117	76	2	493
1160	1138	235	226	1460	1438	300	290	49	493
481	647	97	126	627	800	126	156	12	494
818	496	170	99	969	642	197	125	14	494
40	1	9	0	327	288	67	58	50	494
1026	138	206	25	1212	315	244	60	8	495
941	1084	197	213	1130	1289	231	249	91	498
613	1076	124	212	826	1289	161	249	92	498
594	18	119	3	787	212	153	38	106	499
1089	1092	206	211	1595	1591	297	300	147	499
8	23	1	4	190	196	36	40	148	500
433	1212	80	233	681	1465	128	283	154	500
1271	1	249	0	1420	149	276	27	154	501
439	380	92	76	585	525	123	106	117	503
851	374	176	70	1445	885	298	174	179	506
641	191	128	34	877	374	175	70	181	506
681	583	141	108	1425	1329	287	251	169	508
1088	593	215	117	1528	953	300	187	155	510
1	953	0	187	607	1526	119	300	156	510
607	1	119	0	1506	588	300	120	156	511
1	588	0	120	733	1174	152	242	157	511
145	1123	32	230	475	1452	102	300	162	511
425	880	87	190	836	1304	172	277	166	514
1008	1	206	0	1226	222	253	48	165	515
1002	222	203	48	1368	575	282	126	166	515
488	164	99	35	1272	753	255	158	100	518
965	775	191	163	1497	1258	300	262	183	518
1	1258	0	262	208	1456	40	300	184	518
208	1	40	0	537	291	108	60	184	519
886	324	177	58	1348	754	267	142	2	555
752	315	156	56	1236	806	251	154	3	555
147	754	30	142	474	1049	93	199	4	555
293	575	63	108	583	939	122	185	14	635
