b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
838	1068	173	206	1146	1377	236	268	2900	57
749	331	160	60	953	629	206	124	747	878
606	202	126	43	777	394	162	82	1576	972
603	37	124	6	883	241	181	48	2256	1016
299	6	60	1	401	107	81	22	2149	1047
579	573	109	112	1438	1418	285	286	471	1120
415	1153	87	243	669	1415	142	300	1815	1194
423	1	90	0	604	170	129	36	1118	1233
40	1	9	0	403	339	83	68	19	1234
891	722	185	148	1145	931	237	192	2737	1336
622	1264	134	233	794	1565	174	300	706	1348
593	1194	120	229	836	1405	169	271	1751	1355
538	127	107	22	823	435	166	86	1751	1356
735	385	154	72	1237	955	255	185	426	1386
5	699	1	136	200	924	38	177	886	1396
1199	951	239	184	1457	1221	295	244	385	1399
12	1	3	0	159	158	33	32	2737	1401
377	723	82	138	596	930	126	180	3231	1621
