b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1160	1	225	0	1524	361	300	75	422	2
1003	922	200	195	1215	1148	242	242	345	13
448	1032	84	215	688	1299	131	268	1140	15
923	463	177	99	1238	741	241	157	356	50
96	1	18	0	395	283	79	57	563	52
474	456	93	98	1031	753	209	161	42	68
97	451	19	93	248	603	49	123	1297	76
356	774	73	154	564	988	117	198	1328	104
40	1008	9	216	194	1162	37	244	216	123
234	1095	44	237	438	1292	87	280	335	224
92	128	20	30	355	326	76	74	1164	225
1036	748	199	157	1332	1010	259	208	705	246
151	943	29	198	401	1182	82	249	636	258
407	1047	81	220	814	1429	160	293	1040	296
37	158	8	35	282	495	55	101	1321	332
1	1217	0	263	140	1388	30	300	358	441
87	1074	16	224	357	1305	73	273	231	504
1	777	0	160	140	942	30	196	358	504
476	607	96	129	679	793	137	166	684	533
231	518	49	109	853	975	176	207	488	545
1281	1346	255	262	1498	1545	297	300	511	547
375	484	75	97	1486	1209	286	233	520	553
1	1108	0	213	327	1459	70	285	521	553
264	778	51	165	541	1101	107	224	1072	569
1204	756	249	160	1421	980	294	204	1095	569
120	433	24	92	466	755	97	161	593	570
817	1	169	0	1463	765	290	148	1091	579
1255	1	255	0	1448	189	292	37	1131	579
