b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
466	391	86	70	813	807	158	158	429	114
1036	712	207	136	1321	996	266	196	686	409
51	1013	11	205	324	1463	69	294	688	775
206	1220	42	242	417	1416	84	281	737	776
306	834	61	160	483	1003	94	191	207	1225
654	913	118	175	785	1044	146	203	682	1653
306	1233	66	244	551	1452	116	288	1381	2044
963	348	201	67	1388	835	287	166	1380	2049
216	262	49	56	362	421	80	91	1385	2439
106	656	22	130	309	809	62	161	1457	2572
430	1218	89	227	622	1406	128	265	224	2654
1180	944	240	195	1342	1108	272	228	1379	2702
783	1237	154	238	1032	1535	203	295	1406	2810
86	369	17	75	384	687	71	137	1404	2832
50	1138	10	209	220	1290	47	245	1405	3964
1	340	0	62	240	538	44	99	1410	3972
458	206	93	43	726	460	145	93	1413	4416
599	1010	125	199	922	1239	190	248	1421	4512
109	224	21	41	600	694	120	138	986	4862
1008	498	204	104	1314	813	271	172	174	5102
301	341	62	62	625	666	133	133	1431	5112
280	460	54	82	524	761	106	145	1432	5263
575	97	115	20	966	390	194	79	1430	5385
112	202	21	40	454	618	89	127	1435	5436
182	196	35	37	367	431	66	79	1438	5789
862	1	173	0	1040	186	210	39	831	5862
27	967	6	194	683	1465	140	298	73	6441
683	254	140	49	1364	724	276	139	73	6442
