b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1105	243	227	51	1220	359	253	77	6	186
359	549	71	107	881	987	181	200	9	242
361	340	75	71	696	729	145	153	10	197
832	721	170	141	1321	1044	268	207	11	190
791	1233	160	245	1094	1484	225	300	18	212
1094	1	225	0	1267	174	261	36	18	213
137	1	28	0	310	174	64	36	19	213
476	481	97	90	926	866	189	169	20	155
196	1109	41	225	579	1464	118	300	22	216
570	712	124	145	955	1207	206	247	24	198
930	491	200	97	1263	813	269	164	24	249
1037	1173	206	226	1344	1476	267	285	25	251
946	514	190	93	1165	727	236	140	27	209
562	305	113	60	736	497	147	100	27	1041
472	640	94	127	876	1056	180	216	28	546
1	247	0	49	357	634	73	128	30	1577
23	1090	5	224	268	1444	58	298	31	233
19	1253	4	259	209	1439	45	299	32	236
746	114	147	21	1205	529	238	105	40	277
130	1245	24	259	304	1433	62	300	42	274
304	1	62	0	834	518	169	107	42	275
603	909	123	186	1185	1442	246	299	47	194
438	593	91	115	752	937	158	189	53	245
1110	675	222	134	1272	873	257	177	56	283
1019	89	212	18	1382	451	291	97	57	247
966	1	201	0	1308	394	274	84	58	247
1019	784	211	153	1428	1213	299	245	61	257
783	784	164	153	1233	1234	261	249	63	257
636	340	130	71	966	729	198	153	66	197
444	384	90	74	812	766	167	151	68	193
1	495	0	98	333	808	73	166	69	1120
8	183	2	39	283	471	57	98	70	276
35	1	7	0	535	518	108	107	71	275
811	168	157	32	1278	622	259	130	89	548
1	950	0	186	411	1399	87	279	100	293
903	350	189	72	1383	1003	285	204	102	298
792	634	171	127	1298	946	275	190	105	292
32	591	6	125	357	927	73	195	111	301
813	1	172	0	1202	520	249	104	114	487
1072	136	221	29	1337	408	275	84	114	596
707	123	146	26	972	408	201	84	115	596
237	812	51	167	930	1414	202	300	119	485
242	923	52	183	666	1300	143	266	119	530
908	1110	188	211	1270	1499	265	291	125	303
535	8	115	1	1427	878	297	182	129	310
31	320	5	70	371	585	79	126	133	317
1018	1120	216	227	1255	1384	268	286	139	315
1	662	0	129	216	890	43	175	141	528
571	591	115	120	944	988	193	201	146	691
790	1075	161	209	1252	1484	253	292	149	330
988	730	208	148	1332	1113	281	230	158	563
374	12	75	2	974	375	199	75	175	336
909	984	188	192	1418	1520	293	300	179	416
1	989	0	198	381	1465	71	284	189	1365
820	1164	166	231	1084	1485	220	299	202	353
29	955	5	195	442	1356	89	280	204	350
1156	133	243	28	1436	443	300	91	207	401
1274	1104	261	221	1443	1313	300	268	209	373
19	463	4	97	282	729	60	153	216	1406
1	80	0	18	803	413	155	81	220	376
1009	978	212	202	1300	1431	273	295	225	370
80	443	17	90	290	635	61	131	225	370
1088	1230	219	253	1324	1431	270	295	226	370
720	278	155	58	1132	712	239	151	228	366
453	643	99	126	653	844	143	170	228	369
345	226	75	49	811	729	173	153	230	1406
408	573	86	115	1040	1288	216	262	235	560
773	746	152	146	1526	1525	297	298	244	376
1175	556	247	112	1426	1040	299	212	245	364
445	18	87	4	1300	707	268	148	247	410
847	1	167	0	1190	395	237	81	249	483
