b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
458	1116	94	222	694	1358	142	271	194	4603
171	1328	35	252	310	1481	61	281	222	2827
1130	721	228	143	1486	1013	300	203	271	4204
1079	167	223	30	1264	337	261	65	393	4392
1035	4	212	1	1456	320	294	61	439	2563
83	1437	17	270	254	1591	51	300	600	3000
1139	1261	239	238	1335	1459	282	280	649	1535
760	682	157	131	919	838	189	162	650	1613
1140	265	239	52	1413	585	296	120	803	4466
261	265	53	52	534	585	110	120	842	4466
527	13	106	3	823	302	166	61	865	3225
1217	212	246	41	1481	494	299	99	879	1419
266	132	52	30	484	345	98	75	906	786
1106	123	227	24	1394	377	283	73	1051	783
752	242	148	47	1098	554	212	103	1119	2722
