b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
721	1	137	0	862	120	166	24	1	620
246	923	55	189	735	1446	148	292	120	1713
478	1097	95	224	621	1233	126	253	154	1350
686	665	128	141	862	815	167	173	161	196
559	1255	107	249	709	1417	137	282	164	969
251	357	47	70	553	762	106	146	194	5
634	1199	123	246	848	1504	161	299	194	21
848	1	161	0	993	219	192	45	194	22
1432	429	269	92	1582	580	297	120	204	4
893	658	186	133	1030	821	213	166	322	292
669	821	138	166	889	1092	185	225	322	1002
29	955	5	203	150	1096	30	231	358	518
923	614	180	118	1106	977	221	200	388	1193
768	1076	162	216	1241	1478	258	300	390	955
411	71	77	12	780	458	150	89	391	955
602	159	116	31	942	393	188	83	467	74
122	390	26	80	283	577	61	120	473	611
1	692	0	137	236	1063	45	210	474	1485
