b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
405	18	79	4	679	339	136	72	144	1447
372	922	73	187	650	1241	131	255	144	1448
44	236	8	49	1181	1426	237	289	224	4138
147	173	29	35	457	335	86	65	266	2235
910	224	191	46	1436	507	297	104	350	150
825	22	175	4	1405	891	298	194	353	152
670	1	132	0	1408	517	283	112	354	153
775	1135	158	224	1117	1487	231	300	368	657
1117	1	231	0	1473	290	300	58	368	658
30	7	6	1	310	395	66	82	852	1907
27	1177	6	230	332	1476	64	287	1360	115
874	1149	174	235	1301	1465	258	300	1501	5972
601	1176	123	233	871	1458	182	295	1545	4952
195	8	40	2	1195	562	252	118	1583	5583
1	933	0	186	309	1390	62	279	1662	2581
132	679	29	131	586	1109	114	211	1934	2247
78	555	17	114	740	1082	150	224	1986	5089
122	827	21	161	472	1181	81	221	2012	1093
636	1	131	0	1004	384	205	77	2084	4450
