b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
126	1184	24	250	360	1403	76	299	40	13
1208	103	245	21	1469	386	300	82	242	20
939	77	181	17	1150	328	224	67	291	34
14	881	3	179	510	1411	112	295	98	47
615	118	120	27	773	251	152	54	11	62
628	306	124	63	842	487	170	101	285	88
319	830	65	175	749	1236	153	263	88	95
114	848	21	180	259	991	51	209	56	110
109	1145	20	247	310	1350	63	291	330	156
272	720	56	152	823	1247	170	263	161	194
1	123	0	26	205	325	43	68	64	198
982	521	206	107	1430	1010	299	211	441	229
377	474	78	100	636	729	129	150	390	259
755	327	148	71	999	552	200	118	306	269
506	35	100	7	722	568	138	110	496	278
634	997	131	202	1233	1419	254	290	64	333
851	794	175	168	1063	996	220	211	445	351
165	954	29	202	432	1169	84	246	188	358
209	66	44	14	395	313	80	63	431	384
1232	227	240	46	1478	495	293	104	174	430
645	7	137	1	885	297	187	62	184	468
4	1	1	0	360	299	73	65	395	480
1	1216	0	250	165	1377	33	283	258	508
1231	643	251	123	1468	886	300	173	160	527
231	459	45	86	767	971	151	191	313	527
251	451	54	94	492	638	102	131	344	533
977	1041	204	215	1182	1252	250	263	241	540
668	323	130	65	1465	1226	300	255	299	541
623	1	124	0	790	162	160	35	235	596
976	582	196	117	1200	755	237	149	113	604
798	467	168	95	1344	996	280	204	14	623
782	260	166	54	898	376	192	80	121	640
421	905	91	192	730	1222	155	257	14	644
809	611	176	126	1115	898	244	189	422	654
203	643	41	130	366	823	78	170	389	664
643	948	130	189	921	1238	183	243	483	684
1225	447	252	96	1415	645	297	143	377	728
1	148	0	33	305	544	62	113	337	740
582	1073	112	227	808	1294	158	272	307	743
1	291	0	63	345	631	72	134	432	746
1067	105	226	22	1381	397	292	84	165	772
489	709	104	152	812	1037	177	225	287	780
983	114	196	21	1493	590	300	118	225	802
510	740	109	161	1038	1222	221	264	438	815
672	843	131	174	888	1111	177	231	94	822
425	305	77	66	597	471	110	98	341	822
