b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
375	1	75	0	783	478	161	97	509	261
1370	1226	267	238	1525	1496	300	296	109	1062
7	1245	1	242	184	1432	38	282	515	1062
519	548	105	105	855	874	175	173	247	1159
1168	1003	222	199	1565	1428	300	283	284	1343
443	1132	90	228	811	1388	171	283	49	1514
8	879	1	183	366	1236	70	252	252	1673
929	437	187	90	1247	775	252	157	297	1981
10	729	2	141	887	1534	169	295	501	2668
963	1157	191	227	1218	1394	238	270	294	3204
579	15	117	4	880	378	181	84	136	3712
7	324	1	67	462	473	99	99	89	4418
