b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1221	615	232	125	1569	965	300	194	296	209
1234	1309	243	259	1377	1453	273	289	297	209
1	965	0	194	378	1333	71	264	297	209
1352	772	267	149	1524	947	300	182	297	210
1	947	0	182	571	1542	111	300	298	210
571	1	111	0	1297	1081	254	212	298	211
1	1168	0	229	326	1494	68	297	300	211
1	126	0	23	1067	1251	210	241	303	212
1031	1073	204	206	1494	1596	289	300	304	213
1	51	0	10	693	737	137	146	305	214
935	1143	175	206	1419	1627	270	300	306	215
1419	1	270	0	1530	111	291	21	306	216
161	1	31	0	670	561	128	107	319	223
989	243	186	48	1191	490	225	93	307	236
1202	586	228	110	1340	720	254	135	307	237
1332	179	253	40	1598	446	300	87	307	238
10	664	2	132	351	940	68	186	308	238
471	1136	91	222	748	1410	146	276	308	239
