b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
531	1364	98	252	898	1616	171	300	5	128
898	6	171	1	1047	153	199	29	5	129
587	939	116	178	966	1427	194	275	21	524
611	47	122	9	799	225	163	47	21	530
482	1	99	0	847	592	170	109	22	538
1	173	0	33	269	496	49	94	23	544
100	1461	20	263	339	1645	68	300	27	647
625	1090	123	192	924	1426	182	258	27	649
1	808	0	154	510	1253	98	238	28	658
832	1	160	0	954	143	182	26	29	683
1	1085	0	204	196	1280	40	243	30	700
956	789	193	136	1452	1339	290	244	30	709
94	1289	18	223	388	1685	72	300	31	712
803	1048	152	194	1288	1560	242	287	31	734
1222	1389	227	258	1401	1568	263	294	31	736
324	886	66	161	774	1287	159	242	35	934
1049	1	214	0	1331	291	271	58	35	960
952	454	182	92	1445	1154	270	215	146	968
981	32	197	6	1151	153	233	33	38	1112
159	307	32	54	447	653	84	117	42	1208
480	27	90	5	712	324	136	63	42	1222
1059	841	204	159	1307	1088	254	208	42	1228
62	693	12	132	198	846	42	165	43	1231
476	268	100	53	750	570	157	117	43	1248
476	25	94	4	1056	730	218	151	45	1321
1	671	0	129	424	1157	86	230	48	1436
111	1246	21	222	242	1420	47	257	49	1471
774	463	157	100	1163	861	240	185	49	1479
970	820	195	140	1409	1319	276	231	58	1631
507	263	102	51	1043	813	211	166	65	1668
907	204	187	40	1162	414	239	82	67	1707
741	1289	153	236	985	1598	205	300	68	1744
921	947	182	170	1304	1600	259	300	69	1768
1089	1	215	0	1526	608	300	121	71	1801
1	615	0	123	866	1480	178	300	72	1801
1283	1269	257	247	1502	1489	300	290	72	1816
143	14	28	3	415	285	83	59	73	1820
787	232	154	46	973	483	194	100	73	1861
10	1	2	0	339	328	68	65	76	1913
635	1101	128	204	1042	1472	212	280	76	1926
97	1009	19	182	470	1463	90	266	78	1949
1327	81	259	17	1536	297	300	59	51	1968
759	306	155	55	1503	1091	296	204	79	1970
817	222	166	45	1091	592	219	117	82	2111
219	710	38	140	837	1540	161	300	83	2111
453	1	96	0	938	515	196	106	84	2185
349	492	65	87	931	1299	182	247	85	2228
1	627	0	111	278	839	52	150	90	2559
1268	1248	264	229	1425	1426	297	267	91	2565
218	1	42	0	940	319	180	62	92	2566
985	997	189	193	1466	1506	286	297	92	2566
1073	500	207	90	1241	718	239	132	96	2639
882	1123	173	205	1107	1437	215	263	101	2710
1051	520	210	100	1500	1046	297	203	104	2730
267	1	51	0	690	623	142	131	106	2739
445	501	83	92	718	809	140	157	115	3321
1220	796	253	147	1416	1023	293	194	119	3382
1098	1189	212	212	1384	1496	265	269	126	3718
1	1342	0	243	189	1613	38	299	131	3808
194	5	39	1	1336	1351	256	258	131	3809
5	260	1	55	933	1376	191	284	132	3810
773	410	157	81	1450	1196	300	244	132	3811
185	1	38	0	1020	1265	211	262	133	3812
705	1145	143	210	998	1408	202	261	118	3899
1181	1	238	0	1489	277	300	55	118	3900
500	740	106	139	703	986	147	190	152	4314
356	1438	66	266	536	1592	103	298	164	4806
924	760	181	140	1525	1422	300	270	178	5048
519	14	109	3	1088	689	218	135	186	5234
759	26	147	5	1514	431	300	92	189	5271
1	431	0	92	244	683	50	145	190	5271
1121	293	226	52	1320	533	268	101	196	5507
1221	30	246	6	1473	317	298	63	199	5554
14	1	3	0	290	275	52	46	32	5591
