b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
942	127	195	23	1163	345	239	66	24	288
1122	1	235	0	1432	289	300	61	27	744
1147	1	241	0	1389	225	289	42	33	788
352	1015	73	203	516	1184	108	240	49	769
483	493	102	100	724	686	154	143	56	775
394	1236	75	243	696	1513	138	300	61	871
696	1	138	0	1498	750	297	146	61	872
388	270	85	56	639	560	137	114	69	772
667	284	136	58	1136	752	231	152	77	832
822	859	177	173	943	994	201	200	164	745
898	732	194	146	1102	1242	238	250	165	845
424	591	89	116	1036	1449	224	300	165	869
85	810	16	157	596	1331	119	259	174	855
1	116	0	24	425	450	87	94	182	858
888	1	184	0	1295	327	270	67	184	876
760	1172	156	236	1102	1489	225	300	189	870
10	400	2	79	408	718	83	140	192	867
433	591	88	116	1042	1449	222	300	193	869
8	4	1	1	1228	956	250	188	194	868
599	671	125	134	849	873	177	176	196	866
806	671	172	134	1052	873	223	176	198	866
1079	1201	226	234	1344	1345	283	265	199	652
511	356	108	70	697	530	147	106	199	866
1069	897	224	174	1344	1088	283	212	199	867
818	172	171	29	1315	558	276	108	204	875
802	450	170	89	986	619	207	123	215	880
1133	1211	243	240	1395	1471	300	296	217	957
893	434	193	86	1382	1055	300	221	219	416
1193	274	250	57	1433	454	300	94	221	881
1	454	0	94	745	973	153	197	222	881
1034	1196	215	243	1395	1469	290	300	224	932
969	296	206	60	1182	516	251	105	225	944
108	685	23	141	420	975	86	199	230	931
34	579	7	115	661	1158	140	230	236	936
1147	1	238	0	1325	170	271	31	240	938
546	1215	114	243	757	1389	161	281	241	939
258	544	53	107	837	1158	173	230	243	936
504	649	102	129	881	970	178	194	253	962
320	744	65	148	580	991	120	200	258	934
698	1101	146	218	1211	1276	257	256	258	937
562	263	112	47	953	630	193	123	260	946
504	1252	106	256	707	1461	150	300	261	942
707	1	150	0	1472	739	300	146	261	943
753	1279	164	252	1010	1512	217	300	275	936
1010	1	217	0	1380	352	297	74	275	937
902	341	195	63	1242	671	269	133	279	945
128	773	29	153	420	1000	91	201	279	949
543	1367	123	266	774	1524	173	300	281	938
774	1	173	0	957	182	212	39	281	939
719	1030	147	204	1246	1418	256	285	283	959
577	103	112	21	755	293	148	59	284	920
389	1043	85	209	881	1474	190	300	286	934
1145	1040	235	205	1479	1293	299	254	288	952
843	335	181	68	1309	763	271	151	292	427
357	286	76	60	593	474	125	99	300	774
391	96	84	20	849	433	178	91	308	418
459	916	93	167	955	1233	192	229	328	624
347	166	75	34	717	448	146	87	385	1037
