b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
598	161	114	32	1496	991	300	205	3	357
669	790	136	162	966	1138	201	236	4	126
1	991	0	205	398	1467	81	300	4	357
860	208	171	44	1265	681	253	139	5	253
167	1	36	0	1067	940	220	188	17	351
1243	784	250	163	1476	1021	298	212	20	115
502	19	96	4	1499	1081	295	215	38	178
1050	655	220	127	1296	1301	274	262	65	100
73	546	15	107	251	732	54	146	69	259
573	755	119	157	833	1014	173	211	83	22
1062	921	221	196	1438	1249	300	263	83	215
120	909	24	185	447	1421	93	295	89	217
1238	138	250	25	1469	387	300	79	92	230
683	362	142	79	1318	1312	276	273	93	227
1	427	0	93	1065	1429	218	298	94	227
1	775	0	154	258	1182	57	240	164	238
1062	348	219	75	1424	718	297	155	177	21
286	11	58	2	525	257	106	52	201	245
511	70	103	15	730	294	150	62	201	246
848	133	173	27	1451	850	300	178	201	321
1	850	0	178	161	1009	30	208	202	321
842	81	173	17	1081	346	224	74	212	114
1	778	0	162	115	893	23	185	213	122
141	1133	28	236	439	1444	89	300	214	115
493	1204	101	251	733	1450	148	299	214	257
1248	1235	259	250	1442	1451	300	295	217	309
328	421	68	90	724	837	149	174	219	114
679	112	146	24	1034	522	214	103	220	302
121	1188	26	242	393	1459	83	298	228	276
413	268	90	54	694	558	148	114	230	314
852	978	185	195	1305	1454	278	293	233	255
205	928	39	198	669	1410	137	300	234	269
669	1	137	0	1188	619	247	129	234	270
25	726	6	150	240	927	52	193	271	263
808	806	173	174	1040	1044	223	224	272	204
113	658	25	137	678	1189	146	249	273	202
748	698	151	142	1436	1470	298	300	276	173
936	278	190	57	1090	411	223	86	276	306
619	93	134	20	1100	614	233	125	282	260
