b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
788	1068	156	216	1353	1311	274	265	1	709
697	645	146	137	987	913	211	196	6	1380
452	877	96	187	729	1134	158	243	7	1380
881	794	184	168	1016	939	213	200	61	568
615	992	131	203	772	1137	162	231	82	660
251	1174	52	244	467	1343	97	280	84	1106
1171	1117	244	218	1317	1253	275	246	87	659
728	1123	154	232	1074	1441	228	300	116	1492
1	48	0	10	398	496	83	102	146	649
566	1	125	0	712	141	157	30	149	2157
824	30	180	6	983	277	215	58	165	396
791	575	171	111	1307	888	285	179	191	1350
4	1039	1	211	510	1257	101	254	192	1350
162	192	35	42	279	300	59	64	289	9
1	349	0	75	239	582	51	123	333	1667
57	6	12	1	469	411	98	84	338	109
792	334	165	68	1025	563	215	118	373	504
294	682	59	142	694	1226	146	260	380	1288
614	416	127	75	888	676	183	128	399	1245
87	923	17	185	214	1049	44	212	400	1251
