b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
890	405	180	81	1186	656	242	130	3	1007
577	1389	111	266	760	1555	144	297	6	898
921	241	184	49	1382	660	274	130	17	637
919	703	180	140	1351	1215	265	239	20	447
615	974	124	198	1097	1498	222	299	65	923
1218	280	245	53	1431	712	286	136	66	784
113	1	20	0	530	698	111	147	93	509
131	992	25	191	543	1512	107	293	94	626
676	306	138	59	900	650	180	124	109	418
1081	763	218	145	1295	971	264	189	115	1254
726	92	143	19	961	356	192	75	115	1255
14	271	2	54	471	1090	95	217	116	290
913	6	183	1	1469	319	292	63	120	1144
1	366	0	74	642	1498	126	300	134	1230
44	139	8	26	238	478	46	91	156	815
288	1078	55	200	576	1545	118	296	156	815
1119	1068	228	211	1438	1509	286	295	156	1052
80	109	15	22	525	686	103	136	164	514
118	432	23	87	294	719	62	145	174	747
465	789	93	153	963	1326	193	256	189	813
3	176	1	33	427	841	84	163	190	822
434	1133	86	236	737	1454	146	300	230	235
784	166	155	34	920	298	185	63	230	236
108	59	23	12	562	754	117	147	246	1147
424	783	84	145	1007	929	202	175	303	945
127	1132	25	217	441	1580	83	299	342	147
626	128	122	27	1022	556	197	109	434	639
