b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
262	1233	54	231	586	1349	116	253	61	62
297	999	61	191	433	1130	88	217	163	75
49	1123	10	217	184	1259	38	246	259	80
627	1355	116	264	776	1518	141	291	470	93
821	812	165	158	1469	1039	281	202	539	96
1030	72	202	13	1521	197	300	40	608	99
1	197	0	40	118	319	26	66	609	99
499	1024	96	203	1036	1171	196	230	648	100
784	297	146	54	978	472	188	91	770	105
1044	780	199	149	1196	932	229	179	795	106
1452	1247	264	245	1650	1432	300	278	800	106
166	1190	29	221	313	1337	59	250	930	110
142	108	25	21	402	370	74	71	944	112
960	593	180	120	1444	817	262	159	965	112
36	1	7	0	403	243	75	45	997	115
1280	184	236	35	1545	405	287	78	1031	116
1092	411	209	84	1244	583	240	120	502	146
490	297	95	59	632	434	125	87	734	149
82	1330	14	253	328	1576	59	298	698	387
411	3	81	1	534	143	106	29	565	1588
725	1258	145	237	1004	1550	204	300	669	1852
1331	1	275	0	1458	128	300	25	669	1854
320	499	64	101	556	801	111	163	21	1902
119	1089	24	229	293	1259	60	264	532	1964
1	192	0	42	286	482	62	105	262	1970
468	22	99	4	705	279	150	59	589	1971
353	1096	73	222	674	1461	140	297	574	1972
896	265	185	54	1195	579	243	115	4	2062
1	70	0	13	227	337	45	68	553	2651
23	153	5	31	198	292	40	58	10	2921
58	438	12	84	230	611	48	120	108	3238
1023	1274	208	245	1194	1464	242	282	528	3757
319	982	65	195	449	1249	92	253	92	3793
802	49	159	8	1081	327	217	66	129	3803
514	1058	95	203	733	1312	135	250	825	3845
