b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1179	765	227	150	1487	1085	290	216	525	17
518	384	106	78	1174	835	237	170	255	27
1152	484	225	100	1304	641	254	130	305	50
1357	1354	271	263	1498	1504	300	294	321	96
5	1354	1	263	203	1533	42	300	1138	96
456	905	88	187	690	1232	137	258	318	169
408	113	72	23	626	315	115	64	374	211
1	238	0	45	544	610	110	115	371	217
132	1127	27	216	514	1514	109	298	373	217
850	620	180	118	1000	766	210	147	379	222
1286	784	255	151	1451	950	287	184	380	222
1006	789	202	156	1417	1099	282	217	1013	280
609	24	116	5	1001	266	195	57	534	287
757	53	150	11	1074	283	212	53	426	318
725	1286	149	249	1022	1538	202	294	520	333
688	363	138	74	1156	697	234	144	458	347
1	1136	0	220	315	1450	60	281	387	480
699	465	136	90	1088	640	215	125	541	521
901	464	183	98	1464	897	300	192	606	605
1	897	0	192	185	1078	38	231	607	605
937	1	192	0	1377	328	277	62	3141	627
880	57	180	13	1317	487	269	95	786	643
1	875	0	171	384	1260	78	250	779	662
202	697	41	146	467	960	94	199	2059	680
239	756	50	145	798	1378	166	274	826	708
192	1	38	0	687	302	135	56	827	709
258	28	52	7	751	515	154	109	833	783
846	822	172	163	1209	1114	247	221	880	809
1	453	0	95	182	904	42	196	837	833
717	138	137	30	885	318	175	71	836	836
1	600	0	118	169	772	36	155	935	885
485	69	94	15	1070	694	222	146	932	895
156	92	29	20	286	243	52	48	975	910
689	1128	136	216	834	1274	165	245	408	951
362	1152	66	224	536	1357	105	270	979	972
140	1164	28	225	255	1271	52	248	1025	1022
122	1164	25	225	237	1271	49	248	1037	1022
699	1161	135	224	813	1271	159	248	2768	1022
433	1072	83	203	929	1476	181	284	3602	1026
1136	598	240	119	1347	816	283	163	1023	1031
697	1046	144	197	1277	1505	261	291	1008	1033
1366	1127	263	222	1515	1297	297	260	1029	1045
1177	7	239	1	1356	182	277	38	1028	1047
1219	589	252	114	1464	843	300	163	1032	1050
50	449	8	88	494	1112	96	220	1067	1085
1204	748	239	156	1498	974	300	204	1012	1107
1219	170	252	36	1450	349	298	72	1032	1177
556	197	111	41	765	419	154	88	982	1275
147	179	28	37	374	488	76	101	1754	1275
213	1103	42	209	903	1505	184	288	1093	1304
201	1390	41	262	355	1567	75	300	1356	1317
355	1	75	0	819	278	163	55	1356	1318
1	636	0	123	225	857	46	170	1360	1320
259	532	52	109	610	807	125	166	1372	1393
706	406	143	76	1130	838	234	166	3148	1592
561	327	111	64	1021	801	203	159	1446	1641
935	1071	188	214	1418	1488	285	300	1463	2007
1353	1392	275	275	1476	1519	299	300	1350	2188
266	908	52	186	533	1165	106	238	2117	2530
828	49	173	9	1463	627	299	122	1256	2573
1098	917	227	174	1398	1163	288	226	2127	2626
1173	917	233	174	1462	1163	293	226	2131	2626
1075	1225	220	238	1300	1414	266	276	1759	2781
140	26	28	4	453	340	94	68	3701	2782
142	1	29	0	638	590	125	114	1726	2789
276	51	56	10	860	677	178	137	3146	2825
561	160	111	32	912	537	180	107	1816	2834
748	761	151	154	1292	1179	256	237	849	2860
295	648	57	124	618	961	126	191	1817	2861
462	385	91	79	839	736	167	150	1806	2869
821	119	166	24	1036	333	210	68	2113	2953
1	951	0	185	407	1490	83	294	2089	2984
1162	1369	234	269	1323	1517	267	300	2084	2985
379	6	77	1	1500	1133	297	224	2089	2985
484	1289	94	258	674	1481	135	300	2092	2988
770	637	153	129	1001	890	201	184	1272	2997
95	29	18	6	305	240	64	52	3303	3114
462	1	90	0	1389	998	278	202	1180	3365
752	638	146	124	1001	997	194	191	1253	3408
1011	1307	198	258	1271	1499	246	294	1210	3527
363	1057	76	213	508	1226	104	246	1677	3697
731	1093	152	227	1062	1412	222	294	1671	3700
