b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	218	0	47	183	416	37	88	106	7
433	374	91	75	824	825	175	174	121	22
416	61	80	13	740	384	142	80	125	29
748	1057	144	217	1103	1439	220	300	122	38
51	41	9	9	1043	1064	213	221	10	39
405	703	85	143	1016	1332	213	278	121	46
402	1221	79	222	789	1599	157	300	124	51
635	1097	132	228	1022	1387	213	288	3	60
205	1100	42	228	478	1383	102	290	55	67
419	1084	86	222	755	1429	157	298	57	68
1	750	0	155	395	1170	78	239	35	69
1172	156	241	29	1447	455	300	95	62	70
162	514	34	110	1027	1404	212	300	91	81
1027	1	212	0	1408	399	288	80	91	82
755	660	139	145	1092	968	210	211	160	237
538	1	114	0	720	206	153	46	55	704
52	901	11	193	449	1311	92	278	119	735
1245	1	249	0	1471	230	299	51	118	739
512	117	104	23	1244	832	257	177	120	745
169	724	35	160	664	1293	138	281	29	864
430	11	80	2	768	349	149	77	107	907
157	414	32	84	760	1047	158	219	162	914
94	367	19	73	451	758	98	157	65	925
411	294	84	63	846	672	172	138	69	940
1	620	0	134	136	764	27	163	153	942
1299	1147	256	247	1521	1363	300	293	54	943
216	954	44	208	621	1354	128	293	27	944
388	19	82	4	1090	743	230	157	102	960
535	594	110	115	1332	1462	275	300	144	994
1332	11	275	2	1457	132	300	26	144	995
1	132	0	26	555	1434	118	298	145	995
1	434	0	95	592	1055	122	221	144	1002
1	147	0	33	1125	1391	239	298	157	1004
763	589	147	131	1441	1296	296	292	193	1034
804	1035	167	223	1169	1402	243	300	171	1039
187	696	35	153	686	1323	142	289	190	1046
320	9	67	2	525	314	107	63	191	1046
405	233	83	52	654	492	134	106	201	1067
1	134	0	28	541	580	112	120	156	1094
515	42	93	9	1288	677	247	141	160	1107
764	918	165	203	1304	1375	281	300	78	1128
992	897	193	195	1327	1241	261	268	110	1137
278	635	51	125	770	1274	151	260	22	1146
1	229	0	51	362	592	77	133	70	1162
420	13	86	3	715	491	150	103	30	1201
1000	1	200	0	1274	244	257	51	73	1203
745	761	157	150	1443	1437	299	288	146	1266
53	1	11	0	1253	1169	263	244	147	1267
156	541	31	103	373	779	74	150	148	1269
498	16	102	3	723	247	148	51	132	1299
390	998	77	203	749	1478	151	300	154	1318
696	6	142	1	1377	1122	272	215	154	1319
193	521	37	116	507	830	104	186	172	1432
872	34	183	8	1436	589	300	124	170	1436
1069	1	219	0	1452	369	300	77	176	1444
1	369	0	77	371	769	78	160	177	1444
379	510	79	105	1021	1129	205	228	177	1445
41	784	10	158	747	1452	163	300	178	1447
717	774	151	157	1110	1198	230	242	192	1467
1179	634	244	130	1464	923	300	188	192	1468
28	923	5	188	381	1275	75	257	193	1468
408	931	80	178	973	1515	191	297	193	1469
610	593	119	120	1037	1013	209	213	104	1511
1130	1	238	0	1299	188	275	40	103	1527
703	1	149	0	1431	752	300	155	103	1531
28	760	4	156	533	1228	104	251	104	1531
8	686	1	142	504	1497	100	300	94	1536
835	743	171	149	1096	996	219	195	92	1538
1297	192	256	43	1517	850	300	177	89	1546
1	439	0	93	470	925	98	194	90	1546
1168	179	232	36	1404	427	282	88	23	1548
1096	734	219	154	1550	1193	300	237	92	1548
1	1290	0	254	210	1511	41	298	93	1548
160	262	32	53	495	625	100	125	92	1549
997	5	194	1	1381	388	273	80	47	1555
276	272	55	58	1116	1239	223	253	93	1563
789	83	158	17	1485	608	300	126	94	1564
