b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1337	41	268	9	1494	221	300	46	68	141
458	1094	87	231	813	1442	159	300	49	151
889	542	170	114	1309	1006	256	208	17	253
862	1023	178	214	1118	1281	231	268	45	301
1	1178	0	239	304	1467	64	300	32	338
1181	857	228	178	1318	998	255	206	47	482
779	58	158	14	1014	345	208	79	43	486
1249	859	251	184	1383	995	280	214	41	509
61	40	12	9	313	273	64	55	54	541
220	1	43	0	622	264	124	52	34	682
1127	1255	225	260	1332	1450	267	300	28	714
1217	682	232	134	1549	1047	299	208	3	723
326	953	62	197	707	1344	141	276	28	728
162	271	34	53	551	611	120	128	29	736
5	183	1	36	237	468	45	88	10	890
1	194	0	39	346	524	74	109	32	930
489	1	102	0	1148	790	227	153	32	974
478	1129	95	242	723	1378	144	292	27	1026
