b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1216	861	260	167	1368	1012	292	199	702	21
896	603	194	117	1417	1138	300	226	2851	51
690	603	141	117	1308	1221	265	242	2885	51
1	687	0	136	503	1221	100	242	3872	51
186	174	38	38	351	349	74	76	817	101
540	912	117	173	818	1209	178	237	2297	103
919	352	187	67	1289	687	266	135	4161	107
1139	178	245	37	1417	457	300	91	2851	110
891	154	183	32	1308	561	265	111	2885	110
163	178	33	37	503	561	100	111	3872	110
432	585	89	122	999	1085	210	230	1135	147
1019	1	211	0	1468	535	299	102	3033	154
