b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
319	1181	58	236	419	1286	79	258	150	933
1226	292	238	61	1351	426	262	87	186	107
837	425	170	80	1031	633	211	123	275	141
703	112	138	24	862	277	168	55	313	183
282	1250	53	232	965	1613	182	300	518	318
425	1377	84	265	572	1521	116	295	708	445
1054	308	205	62	1396	658	273	131	882	518
358	867	76	167	857	1378	170	262	889	576
357	666	67	128	526	830	100	160	947	1192
1373	588	267	117	1536	755	300	151	958	1242
197	1348	34	264	370	1524	70	300	1106	998
1125	341	215	63	1551	875	300	174	1414	1123
843	661	166	129	1138	1113	225	218	1418	1122
534	1105	101	214	743	1354	145	264	1602	951
671	574	115	112	868	778	158	156	1781	723
1031	418	210	84	1246	736	255	150	1854	749
49	1299	9	263	206	1458	40	294	1935	1090
214	11	41	2	472	469	94	95	1935	1091
778	158	156	33	1184	463	238	97	1946	1079
60	759	12	144	213	912	40	172	1984	1080
