b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
478	591	93	115	596	713	119	142	405	3777
180	1402	33	263	367	1589	67	297	745	1383
199	1126	38	214	410	1337	79	255	803	1528
1	681	0	129	195	875	35	164	808	1530
405	1223	75	244	641	1427	120	285	868	2863
879	921	169	193	1418	1457	275	299	875	2402
408	629	84	126	583	804	112	154	917	2134
1045	483	205	96	1239	703	246	144	1135	3770
104	383	18	83	257	536	45	110	1254	1112
632	955	116	181	802	1125	150	215	1298	1922
774	1251	150	246	1005	1493	201	300	1455	352
1030	195	199	39	1210	372	235	74	1766	3786
711	1067	133	218	953	1311	179	264	1899	659
511	1056	95	210	652	1197	123	238	2107	1172
511	973	95	201	652	1114	123	229	2107	2716
543	1403	104	251	769	1629	148	295	2133	2131
572	17	109	3	833	252	157	46	2134	2132
764	519	150	90	1161	798	220	141	2267	2131
321	1044	60	210	505	1350	96	271	2271	2718
