b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1213	35	231	8	1571	378	300	76	1096	126
164	366	29	74	712	926	135	184	130	137
194	438	33	90	678	954	125	189	568	137
1258	1044	250	220	1494	1396	300	292	687	152
1031	547	192	115	1246	769	237	160	318	154
886	409	163	87	1229	699	233	145	318	156
1	924	0	188	541	1501	107	300	762	190
1033	456	204	90	1266	719	252	145	766	236
825	457	151	93	1276	792	239	161	377	279
315	392	53	84	529	620	97	131	92	304
101	134	19	30	393	428	79	90	1447	327
1176	1	236	0	1337	181	270	39	1258	379
1367	1002	255	206	1521	1133	286	232	1606	394
240	1	53	0	1486	1415	300	282	1003	511
48	1	10	0	558	468	116	98	1004	512
1372	29	272	7	1515	172	299	34	1000	521
223	502	37	104	458	739	89	157	1606	530
287	686	50	154	471	1168	91	256	1606	549
349	556	67	117	567	779	111	164	1552	1100
1145	274	206	57	1497	701	273	143	1030	1105
1	1281	0	268	159	1441	32	300	709	1243
1091	711	200	145	1359	995	258	208	550	1389
775	424	146	88	1039	685	201	142	997	1407
775	539	146	117	1039	801	201	171	997	1409
1154	732	225	152	1339	944	263	196	1250	1451
168	805	32	159	745	1439	145	288	1241	1505
124	377	24	77	712	918	139	186	1241	1506
1	356	0	72	274	842	51	164	245	1611
1218	819	240	164	1493	1106	299	226	1191	1716
535	886	108	185	761	1102	157	232	1441	1719
592	1	121	0	761	168	157	35	1441	1720
1363	24	266	5	1522	172	300	38	844	1725
430	288	80	54	612	508	118	101	720	1770
47	1168	10	232	350	1466	70	290	1169	1827
809	494	164	107	1243	921	254	192	803	1845
988	719	193	149	1180	997	233	208	716	1896
