b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
572	883	109	171	1101	1296	215	254	818	272
880	123	170	23	1420	514	272	99	818	427
954	1	184	0	1232	291	238	57	748	991
706	576	138	113	1387	1263	266	235	818	1143
80	459	17	81	567	1125	117	209	934	1176
239	375	45	75	742	598	153	129	962	1651
755	426	148	75	856	633	169	117	2029	1830
369	1335	70	245	577	1538	114	287	42	1904
197	226	40	42	461	495	92	95	2139	4140
1036	227	214	40	1289	482	265	91	7	4228
906	482	171	97	1115	967	216	202	1577	4605
118	824	21	160	526	1289	100	255	749	4741
23	462	4	94	573	1020	108	206	749	4832
816	339	158	69	952	477	185	97	1691	4865
806	554	157	109	1128	662	227	135	2586	5262
