b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
630	837	131	173	920	1071	189	220	16	687
9	55	1	10	276	330	57	67	26	1153
573	407	120	93	776	559	163	127	24	1864
593	1083	121	233	920	1203	187	257	9	2754
1129	206	215	44	1522	565	291	113	28	3114
362	999	75	209	707	1403	148	297	25	3143
1129	711	215	146	1522	1248	291	245	28	3650
111	383	21	73	1121	1087	230	216	25	3652
1129	381	215	78	1522	971	291	190	28	3671
1101	435	228	85	1442	705	300	141	5	5383
1101	17	228	3	1442	287	300	59	5	5396
974	470	198	94	1263	778	260	162	9	6426
793	643	167	126	1384	1165	285	224	25	6768
