b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
679	807	142	165	908	1016	189	208	20	295
486	1094	100	222	890	1358	184	278	21	295
286	331	61	64	648	694	134	136	39	1080
788	443	164	86	934	595	196	119	50	1101
85	1	19	0	220	141	47	29	57	63
54	688	12	132	244	892	53	176	57	963
159	358	33	68	607	817	129	167	82	941
582	1083	124	218	893	1354	180	266	83	1082
137	1005	30	203	592	1473	125	300	84	1111
592	1	125	0	730	123	152	24	84	1112
860	1242	178	246	1155	1495	241	300	88	1137
1	991	0	195	185	1165	39	231	101	1139
165	547	35	110	337	731	74	152	143	1141
747	897	150	178	1284	1444	263	291	151	31
282	1235	58	242	550	1509	115	300	161	1072
408	175	89	33	1133	530	236	104	163	634
1126	102	235	19	1255	249	260	49	174	814
880	245	177	48	1413	758	280	146	188	1070
