b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	1164	0	223	188	1355	36	260	1846	13
1162	1129	224	214	1350	1327	258	249	897	14
123	1099	21	212	371	1347	66	255	1226	30
1354	1077	258	203	1472	1198	280	225	42	40
197	1217	34	230	422	1377	77	259	161	40
531	1046	102	197	966	1260	174	229	453	65
666	1335	118	258	792	1458	142	281	191	71
69	172	12	36	280	395	51	75	1422	91
265	862	44	166	479	1074	83	203	1889	91
1487	584	278	109	1596	699	300	132	83	128
59	1300	10	244	222	1464	43	277	8	147
720	618	133	121	990	739	184	143	1237	193
416	84	78	14	828	389	152	68	949	200
1447	1149	265	216	1640	1299	298	242	436	201
1366	369	257	70	1494	496	286	99	1783	242
1158	216	216	40	1274	332	239	63	1202	243
1454	387	268	73	1591	521	292	96	890	251
