b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
476	1013	97	204	890	1443	180	291	34	1034
957	1032	199	209	1076	1157	223	234	82	1037
1326	219	262	41	1502	402	298	79	143	938
13	797	2	160	718	1349	146	273	266	512
1154	373	231	71	1309	532	264	104	315	601
1230	177	257	33	1412	373	295	74	321	448
315	901	61	184	458	1030	90	210	351	1229
571	352	114	67	739	539	150	108	353	1481
663	478	143	94	890	658	191	131	409	1324
1	289	0	56	251	524	50	104	414	1324
1	336	0	65	180	552	35	108	511	1613
1	161	0	31	200	366	39	72	524	1474
10	1	2	0	200	197	39	39	524	1892
8	1226	1	253	166	1386	33	285	525	1892
457	706	89	139	562	812	111	161	530	1895
514	1187	110	229	692	1365	146	267	561	1173
587	1191	114	229	803	1413	154	270	622	1171
906	1274	189	241	1201	1559	250	300	636	1695
108	1129	23	214	335	1359	67	259	637	1694
96	1129	20	223	434	1452	89	289	728	1462
1116	558	228	111	1417	842	291	170	772	1481
1116	1122	228	225	1417	1429	291	288	772	1497
806	934	166	183	1259	1316	260	263	817	1858
496	264	102	47	785	559	161	107	817	1861
706	235	136	43	1038	569	201	109	836	1865
939	972	183	191	1504	1536	289	300	836	1865
991	919	201	185	1315	1230	270	252	898	1925
431	1335	91	258	554	1540	116	300	963	2127
174	1055	35	206	308	1186	61	231	977	2139
1126	774	216	147	1433	1162	275	223	1005	2129
117	15	24	3	339	244	63	43	1035	1953
194	783	37	159	550	983	114	203	1041	2275
523	1099	111	212	791	1389	166	271	1068	2381
1009	5	214	1	1466	281	300	53	1096	2333
30	235	5	48	339	687	66	134	1101	2365
22	824	4	158	283	1049	56	201	1102	2365
96	551	19	111	381	714	76	144	1105	2344
524	1009	109	209	729	1193	150	246	1119	2500
44	123	10	23	468	521	98	103	1128	1457
44	909	10	172	480	1340	101	258	1128	2163
706	246	135	46	1249	837	238	157	1188	2701
1121	378	227	78	1515	775	300	152	1191	2703
879	1	173	0	1308	375	260	74	1232	2634
176	574	39	113	333	691	73	138	1258	2642
240	211	48	40	407	388	83	76	1285	2836
240	275	48	55	407	435	83	87	1285	2841
282	306	54	58	580	593	115	116	1602	990
294	1062	57	210	584	1342	116	266	1602	1005
743	538	152	105	943	732	195	145	1770	1972
664	864	136	163	1021	1147	207	219	1824	2136
245	1087	49	196	374	1226	76	225	1955	932
1296	1009	254	209	1477	1174	290	242	2232	2500
618	1215	127	243	902	1448	189	293	3648	1101
757	796	158	163	1297	1427	268	289	3650	1101
1216	1	258	0	1427	212	300	42	3763	2542
1	212	0	42	324	519	67	106	3764	2542
