b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1270	492	265	107	1445	655	300	139	408	110
1	655	0	139	253	872	52	184	409	110
526	976	110	196	995	1378	206	275	290	301
1	826	0	163	663	1478	141	300	299	334
628	535	134	115	1375	1297	286	268	299	335
1	165	0	31	1196	1408	232	269	300	336
1068	129	208	25	1531	671	294	129	300	337
38	852	8	164	554	1531	111	300	301	337
674	462	135	88	1126	1455	227	285	301	338
728	563	153	120	1377	1113	291	234	419	340
491	248	103	47	999	650	207	125	290	380
306	759	62	150	1080	1469	224	296	290	398
