b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
262	24	55	5	1227	1128	248	226	9	671
536	102	99	22	1210	876	244	195	1	699
653	27	123	5	899	492	178	104	1	701
1078	116	215	21	1359	505	269	96	3	714
976	551	195	115	1484	1152	300	240	7	719
1	1152	0	240	118	1280	23	266	8	719
380	551	73	107	925	1156	183	232	8	720
546	246	96	52	882	1002	176	217	2	728
543	637	95	133	882	960	176	209	2	729
546	1008	96	221	785	1265	153	284	2	733
636	633	117	130	888	1028	177	213	2	736
114	408	21	72	280	562	51	99	40	740
409	382	76	76	976	606	199	126	40	780
108	656	22	137	467	1080	96	220	42	804
47	451	10	83	333	775	66	146	36	828
192	765	38	148	701	1372	141	270	22	887
701	773	141	161	1170	1193	232	244	22	888
701	1282	141	263	896	1468	180	300	22	890
896	1	180	0	1284	290	255	57	22	891
199	133	39	24	701	836	141	165	22	893
701	362	141	74	1138	801	226	159	22	894
180	982	36	199	647	1470	131	300	22	895
701	938	141	196	1170	1432	232	292	22	896
172	1101	35	228	497	1445	102	300	22	897
701	1053	141	218	1138	1473	226	300	22	898
572	55	116	12	710	233	145	48	32	904
1351	1295	258	263	1585	1486	300	297	29	905
1351	111	258	22	1585	302	300	56	29	909
451	543	93	114	843	1022	174	217	62	1236
233	1	46	0	701	480	141	100	22	4559
834	5	167	1	1138	312	226	61	22	4560
1	340	0	75	355	658	68	136	19	9700
1350	742	259	152	1516	946	293	196	16	10014
109	1	23	0	1037	1147	212	240	17	10015
479	1064	91	224	804	1356	155	281	66	11447
479	253	91	52	840	599	162	121	66	11448
484	891	104	192	898	1425	187	299	52	17938
912	35	189	7	1210	717	249	141	52	17939
1149	760	230	165	1428	970	293	213	1	19889
262	262	55	55	1227	1387	248	280	9	24303
627	370	123	78	1171	956	242	206	11	24815
740	172	148	36	981	370	197	74	22	26703
