b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1068	1	201	0	1560	481	300	96	12	625
1064	831	200	163	1496	1135	287	222	12	661
1	481	0	96	186	687	40	141	13	625
1186	1118	250	212	1303	1235	275	237	99	78
1251	705	255	133	1457	887	300	172	174	461
549	938	112	192	765	1153	155	235	501	97
523	715	101	142	788	988	154	196	526	118
159	595	35	104	399	853	86	158	648	113
1231	590	240	110	1564	959	300	177	729	781
854	745	157	150	989	872	183	174	813	711
1146	1151	214	227	1281	1448	239	286	848	568
166	112	32	21	491	447	101	87	860	860
