b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	909	0	183	250	1318	49	263	1014	1937
173	797	31	145	1407	998	271	186	2726	1026
1362	798	266	162	1504	952	294	193	3835	1113
921	1032	170	204	1149	1380	214	270	4788	2136
853	903	160	175	968	1028	182	199	5835	504
297	1244	59	248	600	1520	115	300	6169	600
31	669	6	129	182	806	37	156	6321	402
756	822	150	159	987	1039	196	202	6989	400
975	305	193	59	1393	460	273	90	10386	1227
563	1127	108	219	797	1357	158	268	11203	2179
1112	1132	211	223	1342	1500	260	300	12050	1631
