b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1009	1070	196	198	1262	1267	245	235	110	731
328	891	69	176	816	1247	162	243	231	1734
1138	507	233	103	1423	733	298	153	347	845
31	658	8	126	305	852	62	165	347	1029
1240	1263	266	247	1409	1464	300	287	537	88
163	1048	30	198	621	1399	129	274	561	321
283	545	58	104	899	1101	184	218	568	595
1192	1182	237	245	1359	1452	272	300	596	991
407	473	90	93	1368	1319	279	262	632	1749
1144	850	230	173	1498	1245	296	247	633	1749
1001	27	199	5	1244	326	247	64	633	1750
946	1207	196	233	1125	1385	235	270	835	1533
1206	396	243	71	1436	626	288	117	1284	527
807	203	159	41	1093	480	217	101	1314	488
268	905	57	188	704	1055	146	222	2071	525
416	537	90	104	820	876	172	171	2082	1420
242	323	49	64	605	680	121	136	2884	1
15	210	4	41	454	836	92	162	3845	348
892	166	173	32	1504	931	300	189	3846	1719
361	1370	71	258	559	1571	112	300	3848	653
559	1	112	0	1465	935	300	197	3848	654
1	582	0	120	447	1348	91	281	3849	654
885	497	176	97	1492	1346	300	271	3849	655
112	1	23	0	1099	584	224	119	3850	656
311	566	62	115	662	1003	139	210	4078	362
1	502	0	101	869	1258	187	252	4106	681
1159	1165	222	237	1355	1358	260	274	4186	195
747	422	155	85	1457	864	297	174	4214	1081
61	1149	14	234	398	1397	80	283	4215	1081
51	428	11	77	566	1049	116	200	4224	1372
208	491	44	92	407	716	87	139	4557	1727
690	298	137	58	1471	783	300	159	4560	1511
1	783	0	159	318	1060	64	216	4561	1511
905	1261	185	256	1181	1487	240	300	4561	1511
210	26	46	6	1047	1034	221	216	4620	673
1	978	0	201	235	1216	51	253	4633	675
7	893	1	182	353	1216	78	253	4639	675
1039	380	222	79	1348	877	288	182	5028	362
322	921	67	182	887	1311	171	255	5347	1002
865	337	175	69	1193	558	240	112	5435	1015
507	948	110	179	711	1132	153	218	5438	733
767	1366	170	237	1017	1636	226	294	5505	688
770	130	147	29	1135	488	218	98	5952	579
