b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
912	1	185	0	1491	446	294	85	59	23
58	9	12	1	292	259	61	53	64	110
829	237	168	45	1183	450	239	89	12	138
213	237	48	45	589	450	126	89	110	138
431	530	90	105	670	753	139	151	136	151
673	726	136	131	857	933	171	171	132	157
1	124	0	25	158	269	32	54	186	160
1138	89	232	18	1353	335	277	69	99	482
947	238	203	54	1120	452	239	98	108	797
1210	1	243	0	1422	216	286	43	117	803
1266	1	252	0	1461	193	292	40	175	1474
449	1163	94	240	720	1447	150	300	89	1529
526	1201	107	227	860	1561	176	300	175	1543
860	1	176	0	1150	280	230	52	175	1544
458	664	94	139	710	920	151	197	94	1609
977	898	212	183	1373	1293	300	269	106	1797
1	1293	0	269	142	1455	27	300	107	1797
330	494	66	101	522	734	107	152	53	1815
