b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
297	1161	63	245	549	1407	119	300	137	852
1060	417	203	87	1297	630	254	134	715	698
1261	1246	236	241	1539	1474	292	289	1727	576
238	6	42	1	480	347	89	69	2379	276
267	1070	48	236	473	1335	88	288	2379	285
236	225	45	49	580	618	117	130	2737	742
139	1062	31	203	563	1484	123	291	2759	786
991	870	198	180	1422	1312	285	270	2828	770
994	688	200	143	1460	1196	294	248	3358	620
936	639	174	122	1148	853	212	160	4299	786
1	6	0	1	281	243	56	49	4485	692
1076	788	214	166	1497	1191	299	248	4501	676
417	406	81	79	604	598	113	111	4555	576
1	135	0	29	427	618	93	134	4671	720
1344	95	255	20	1566	402	300	80	6050	145
1	402	0	80	1391	1526	264	294	6051	145
7	110	1	22	253	258	50	52	6051	209
10	5	2	1	621	683	116	129	6052	146
152	706	32	146	1168	1482	228	300	6713	579
547	321	115	61	1209	692	256	138	6714	580
369	885	76	178	822	1330	167	267	6715	580
943	58	193	13	1457	510	300	107	6715	581
496	663	102	139	1459	1305	300	274	6716	581
294	636	62	118	513	868	101	160	6823	576
1264	1231	238	248	1418	1365	266	273	7287	682
114	118	23	24	358	399	73	82	7698	794
1032	914	200	189	1188	1062	229	217	8255	228
80	6	16	1	578	581	114	109	8656	756
647	952	131	199	1210	1491	238	300	8796	521
137	437	27	93	462	809	93	172	9132	217
