b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1139	197	210	37	1476	490	280	97	12	35
1004	1371	199	279	1111	1478	220	300	125	100
1	725	0	138	298	1022	61	200	299	183
1	1105	0	208	377	1456	76	280	317	213
1306	13	258	3	1491	218	297	45	320	214
409	346	88	65	701	570	145	108	161	265
528	1	109	0	1167	326	235	61	21	268
1164	214	226	46	1420	414	276	86	314	317
1237	552	238	98	1481	840	286	155	62	346
655	660	132	124	998	1161	200	216	92	349
1093	899	227	174	1366	1174	284	231	27	375
215	373	44	73	1230	1118	237	214	376	409
666	1317	133	248	778	1429	157	272	147	481
