b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	221	0	44	320	561	63	114	75	24
746	233	143	53	1005	968	191	202	1772	50
753	1019	150	216	1040	1384	213	296	1775	47
1	1163	0	239	199	1349	45	280	1776	67
297	881	56	191	804	1214	159	263	1778	48
178	284	31	55	687	729	129	142	1800	53
487	784	98	168	1032	1290	211	274	1826	59
1005	963	203	209	1393	1268	283	275	1838	58
824	691	162	146	1056	939	210	198	2501	87
570	238	118	54	783	461	162	100	2594	139
1372	669	264	139	1558	917	300	188	2599	169
86	638	16	133	438	1021	83	212	2608	138
868	746	167	154	1283	1012	250	208	2612	157
600	1075	115	229	973	1414	188	300	2616	195
936	203	178	43	1373	537	262	110	2640	144
1045	1285	212	261	1247	1492	249	299	2751	120
771	32	161	5	967	275	201	60	2753	164
967	492	188	103	1156	705	227	148	2758	177
140	172	27	35	954	628	193	134	2771	175
116	1108	22	237	553	1390	116	299	2784	164
243	135	47	27	446	317	90	66	2784	165
55	880	12	184	294	1127	63	238	2938	122
52	115	10	26	765	1087	156	226	2940	119
549	1116	109	245	747	1376	151	300	3631	80
