b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
827	212	162	40	948	335	187	65	5161	4
950	372	207	74	1401	672	300	136	7254	8
1	672	0	136	413	1057	88	216	7255	8
211	372	47	74	1393	1209	298	246	7399	8
937	20	199	4	1427	449	299	88	7255	9
202	20	41	4	696	455	143	90	7400	9
1273	1113	252	207	1502	1348	298	255	395	15
442	1119	90	208	771	1454	160	279	6807	15
1015	801	220	156	1381	1152	294	226	635	40
518	350	109	54	874	743	175	124	3670	65
851	742	171	140	1011	887	204	169	7045	76
344	739	73	139	507	887	107	169	7297	76
8	21	1	4	311	376	66	82	5067	82
596	242	128	50	741	402	161	86	99	95
8	395	2	74	184	577	39	112	6534	99
805	1272	165	254	974	1431	201	287	1949	118
783	1273	158	243	1123	1522	229	295	5875	162
