b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
500	1296	101	263	658	1438	131	290	54	103
1275	1284	257	246	1495	1498	299	288	561	148
867	1284	183	246	1092	1498	226	288	684	148
1267	206	253	44	1496	468	300	97	4242	171
219	148	47	31	506	414	106	86	662	186
729	317	162	65	896	483	196	98	1039	292
918	1259	185	261	1078	1436	220	300	6251	313
354	492	77	99	504	642	107	129	1650	410
654	435	132	87	864	642	175	129	5716	410
1245	571	259	113	1441	782	300	157	716	433
553	997	116	200	766	1239	157	247	1783	437
1085	1123	232	222	1280	1322	275	265	3988	439
671	1123	141	222	866	1322	184	265	6741	439
728	1	152	0	1243	421	254	87	968	472
1267	592	253	120	1496	847	300	172	4242	497
147	888	26	181	305	1046	60	214	1075	515
1102	137	253	29	1273	310	290	66	2068	520
1001	1257	201	246	1200	1463	242	289	20	704
886	1257	187	246	1109	1467	233	290	5683	704
642	1235	116	248	872	1474	164	298	4783	787
1102	45	253	9	1282	234	293	50	2068	891
727	330	146	67	922	545	188	115	12	915
1	863	0	172	159	1021	31	204	1157	988
348	1096	72	220	536	1282	108	259	2967	1039
1	1117	0	225	304	1427	60	287	1776	1124
275	499	57	100	574	817	115	161	2001	1155
59	1036	12	201	208	1180	41	229	385	1176
1102	910	253	184	1273	1076	290	219	2068	1197
