b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
129	5	25	1	362	240	71	47	23	225
505	1337	105	256	735	1564	141	292	331	156
1076	396	218	75	1370	677	278	131	414	269
1176	553	239	111	1370	748	278	150	414	272
1186	966	248	193	1380	1171	290	237	541	226
275	980	58	189	741	1364	159	270	653	141
562	980	112	189	1016	1336	209	264	875	141
485	1087	105	214	657	1259	139	248	965	340
1068	383	216	75	1335	671	267	129	992	138
1139	1056	246	205	1308	1215	280	237	1008	329
1189	302	238	56	1493	619	300	121	1078	137
601	500	113	100	762	717	146	145	1096	347
1	721	0	140	158	944	34	186	1101	14
34	1106	7	222	374	1378	78	277	1103	137
370	470	69	96	673	767	127	153	1231	15
1222	719	245	137	1519	1034	300	194	1617	156
870	744	181	155	1010	883	209	183	1928	84
870	262	181	50	1010	402	209	79	1928	121
306	1286	71	262	451	1433	101	293	1993	346
677	321	153	69	1028	642	220	130	2089	350
928	452	198	89	1306	809	278	164	2195	359
644	764	135	147	931	1046	186	197	2395	156
949	559	196	104	1060	672	222	131	2397	357
229	284	45	58	493	511	101	105	2582	310
1297	1085	259	207	1483	1255	294	240	2836	301
269	518	58	101	543	813	113	161	2878	100
419	1007	84	194	843	1280	162	241	2906	302
1288	1	261	0	1492	199	300	38	3013	229
33	1009	7	187	184	1159	38	218	3143	53
775	310	160	60	1099	681	230	138	3145	148
1082	1033	231	206	1395	1411	300	288	3305	226
875	395	188	77	1132	663	239	128	3317	138
307	186	64	37	477	373	101	77	3474	198
545	1092	106	209	720	1255	138	240	3491	301
767	1007	156	194	1164	1280	227	241	3503	302
84	564	18	115	342	834	68	168	3680	369
88	678	19	135	397	991	80	197	3751	323
69	188	15	36	397	513	80	100	3751	337
650	256	137	48	938	603	199	123	3760	148
1107	627	236	112	1344	855	285	159	3854	146
290	769	57	160	598	1064	122	221	3969	296
1132	208	236	42	1280	348	266	70	3976	296
124	1246	22	243	310	1427	65	284	4066	377
375	621	75	124	939	1190	193	241	4088	198
796	411	161	82	1426	981	296	203	4088	215
1137	595	235	123	1426	1080	296	221	4088	231
1151	1103	221	225	1382	1340	269	275	4177	300
1092	972	226	194	1418	1300	289	259	4181	334
758	1159	157	227	1050	1434	220	286	4186	247
185	86	38	16	330	216	69	44	4187	145
72	1	15	0	331	259	64	49	4188	248
1188	1	248	0	1440	263	300	53	4220	231
883	945	184	185	1436	1474	300	295	4221	183
157	1407	32	270	320	1556	65	300	4221	223
257	1039	48	208	478	1211	93	242	4224	148
211	681	44	138	459	974	98	199	4225	199
451	1142	97	233	731	1470	155	299	4225	215
690	1	137	0	1416	815	285	167	4226	231
810	217	164	42	1128	507	229	102	4227	215
291	737	57	151	553	987	109	201	4227	231
848	75	165	14	1539	935	300	186	4228	219
333	127	69	24	825	604	161	113	4228	220
43	806	8	157	209	950	43	186	4256	330
854	629	185	123	1361	1146	280	219	4292	270
550	1012	113	208	1019	1458	209	300	4367	297
283	4	57	1	677	433	135	87	4427	88
314	580	67	112	520	743	110	145	4452	16
1279	811	263	164	1448	1012	298	205	4459	285
1	213	0	43	176	381	38	79	4493	198
864	336	183	68	1286	784	269	159	4521	230
1	437	0	88	126	578	26	118	4601	243
942	1	198	0	1423	712	299	147	4612	324
1137	355	239	73	1276	494	266	100	4612	325
5	707	1	146	137	825	32	174	4613	324
415	282	93	54	753	599	162	119	4613	328
367	230	75	42	1551	1037	300	198	4747	164
6	829	2	156	341	1148	63	214	4748	165
55	1281	13	244	310	1533	58	289	4748	168
117	665	24	125	323	870	67	167	4750	167
323	327	67	64	861	801	172	160	4750	170
649	898	129	178	901	1133	175	223	4785	375
973	429	195	80	1248	668	254	131	5179	291
567	1174	109	232	911	1504	180	300	5309	375
911	1	180	0	1510	575	293	108	5309	376
23	570	3	107	918	1495	187	300	5310	376
918	1	187	0	1494	561	300	111	5310	377
1	561	0	111	695	1250	135	244	5311	377
1	459	0	93	104	578	21	118	5406	243
395	684	73	114	696	997	131	174	5430	95
1	383	0	75	267	663	50	128	5541	138
8	954	3	196	202	1322	43	272	5747	228
48	755	13	152	363	865	78	177	5747	229
1118	1	237	0	1431	325	300	65	5747	231
98	1407	21	270	261	1556	54	300	5748	223
173	665	34	125	420	870	86	167	5749	167
1065	681	222	138	1328	974	280	199	5749	199
930	213	187	41	1221	457	246	91	5750	215
1	194	0	37	472	628	88	117	5751	220
472	693	88	142	830	1123	165	230	5751	225
435	75	91	14	1239	1046	248	208	5753	219
1	5	0	1	221	240	43	47	5753	225
1170	882	256	189	1280	991	279	211	5757	194
516	621	106	124	1108	1190	230	241	5771	198
952	354	195	71	1365	763	286	159	5771	215
1	763	0	159	236	981	49	203	5773	215
1	870	0	178	236	1080	49	221	5773	231
1171	1264	236	239	1421	1501	284	285	5872	118
771	899	159	174	936	1071	193	210	5876	276
592	829	128	156	912	1148	187	214	6132	165
641	1281	139	244	881	1533	182	289	6132	168
1186	1191	259	240	1371	1335	300	273	6203	197
692	308	145	59	967	687	203	137	6239	101
1	66	0	12	330	389	67	78	6515	229
765	256	155	48	1080	603	222	123	6887	148
20	296	5	60	241	538	48	108	6995	309
173	508	39	109	1029	1386	219	294	7062	83
1129	314	248	55	1367	540	298	99	7090	166
609	112	129	22	934	418	196	83	7110	373
515	181	111	36	793	427	171	87	7405	362
515	230	111	49	752	433	162	92	7405	367
