b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
67	456	12	91	611	983	114	189	162	99
281	1087	48	210	525	1329	95	258	163	99
1	392	0	72	781	978	148	188	298	100
1257	978	233	188	1587	1274	295	243	298	100
1011	858	178	156	1671	1380	299	249	315	101
477	1070	88	202	766	1344	143	254	402	112
164	656	31	126	1262	1517	251	299	392	114
892	288	179	59	1266	475	250	96	393	115
1232	1072	233	217	1558	1439	300	289	403	115
820	440	157	85	1195	948	228	182	21	126
162	932	35	171	350	1099	72	205	347	132
19	1083	3	212	217	1291	43	254	381	141
1147	712	232	142	1360	951	275	189	337	147
44	958	10	181	462	1341	104	267	496	148
454	1	90	0	878	500	171	97	338	149
506	1365	98	268	922	1534	178	300	404	158
922	1	178	0	1044	136	203	27	404	159
80	672	14	126	327	943	64	183	405	159
1	337	0	68	925	1092	171	207	328	162
105	1106	19	210	444	1480	87	286	329	162
570	1323	109	256	701	1454	136	283	336	170
728	412	140	78	1119	812	218	162	389	214
771	829	152	164	1199	1399	235	276	356	223
1	982	0	176	634	1599	126	300	356	224
326	624	66	115	1457	1508	297	296	40	231
75	571	15	107	304	814	61	156	39	232
3	18	1	2	251	238	50	45	41	232
792	892	158	172	1545	1261	300	243	41	232
8	1261	1	243	420	1534	85	300	42	232
536	36	108	6	1577	959	298	179	42	233
1	966	0	180	743	1558	147	300	43	233
743	1	147	0	1135	365	221	70	43	234
1	1025	0	204	492	1500	87	284	372	241
16	594	3	112	412	1041	84	203	390	309
1010	516	199	112	1267	867	252	183	560	324
1398	1	271	0	1579	163	300	25	620	750
1	163	0	25	516	489	108	94	621	750
474	475	98	101	1453	1126	295	233	521	803
33	978	5	199	503	1451	103	300	724	837
1114	759	213	160	1338	978	259	205	541	841
398	992	80	208	896	1451	177	300	542	841
896	1	177	0	1501	663	300	135	542	842
1	663	0	135	781	1457	163	300	543	842
781	1	163	0	1451	600	300	121	543	843
238	634	49	127	1103	1409	233	291	544	843
756	989	153	194	1440	1523	287	300	558	862
619	1	126	0	1456	797	288	153	617	878
125	1117	24	219	395	1405	77	274	564	882
395	13	77	3	1439	1051	300	217	564	883
1078	37	214	7	1498	470	296	89	565	885
1	470	0	89	1551	1291	297	248	566	885
278	679	52	134	1065	1507	209	300	567	886
1065	1	209	0	1491	443	295	84	567	887
6	447	1	85	1224	1525	247	300	568	887
123	89	21	18	345	320	66	66	569	888
5	144	1	28	1428	1467	297	299	570	889
366	1333	73	260	517	1527	104	300	571	890
990	13	197	2	1324	312	268	64	571	891
1	101	0	22	470	594	98	122	573	892
1309	902	265	183	1509	1227	300	248	573	892
1	1227	0	248	281	1516	49	300	574	892
281	1	49	0	1558	992	295	196	574	893
122	1026	22	204	615	1496	121	300	575	893
602	443	120	93	835	652	163	131	576	893
615	1	121	0	925	318	184	63	575	894
842	353	164	70	1141	651	224	128	576	894
1018	1185	214	234	1172	1391	245	275	572	896
1	497	0	105	575	1054	115	217	576	897
64	1	12	0	1499	1258	294	246	578	898
156	892	32	168	514	1204	108	234	589	900
664	1036	129	207	1154	1428	218	275	591	901
248	63	47	11	1046	950	207	187	592	902
66	955	13	188	812	1523	161	300	593	902
816	6	162	1	1134	302	225	59	593	903
549	272	112	53	1489	872	300	171	594	903
83	392	16	78	1444	1502	287	300	639	904
1	77	0	14	1512	1377	298	270	640	905
1	109	0	19	912	654	172	121	596	906
952	1193	179	233	1328	1544	251	300	596	908
422	1	82	0	1456	606	270	114	604	908
391	953	76	184	609	1193	121	233	606	908
1337	5	253	1	1572	213	300	43	596	909
1	213	0	43	1477	1412	299	290	597	909
48	1	10	0	1403	1280	300	271	598	910
776	1	160	0	1461	589	300	119	599	911
8	592	2	120	482	906	98	183	600	911
783	68	156	14	1377	716	281	148	600	912
825	716	170	148	1492	1360	300	275	601	912
123	355	22	74	326	554	63	114	601	912
126	9	25	1	1208	1129	243	228	602	913
65	6	14	1	976	883	199	181	635	916
1123	876	228	180	1477	1395	300	288	637	916
1305	113	253	23	1517	297	300	64	632	917
1	297	0	64	1368	1547	258	299	633	917
63	1	13	0	245	204	51	44	638	917
1374	1	259	0	1575	199	300	41	633	918
1	199	0	41	1384	1381	276	279	634	918
551	459	114	92	804	1038	169	215	610	920
1013	688	201	134	1396	1156	272	222	611	923
33	1001	7	198	296	1254	56	244	614	924
223	64	41	14	1116	961	213	189	613	925
63	1194	13	237	795	1503	164	299	625	977
12	390	3	73	906	1153	194	235	622	989
580	1	118	0	1287	419	256	81	623	990
1178	873	239	156	1473	1204	294	218	627	994
970	1105	195	219	1290	1473	259	293	630	1000
326	285	64	52	653	570	129	108	645	1001
357	1104	74	215	652	1489	133	295	646	1006
1164	1	229	0	1517	362	300	74	645	1007
1	362	0	74	255	635	52	131	646	1007
33	207	6	43	1011	1256	198	261	628	1008
87	1280	17	265	225	1449	46	300	641	1008
225	1	46	0	478	244	98	50	641	1009
5	265	1	54	1374	1551	267	300	665	1009
6	123	1	27	387	482	75	97	666	1010
91	726	17	137	584	1310	110	248	760	1011
1139	23	222	4	1495	400	299	84	642	1016
940	689	187	141	1537	1284	300	251	659	1018
1	664	0	132	683	1294	132	253	650	1019
1000	4	207	1	1497	413	300	78	660	1019
683	118	132	22	1387	723	277	147	650	1020
268	752	53	153	692	1168	142	239	651	1020
1350	814	250	163	1598	1008	300	199	666	1087
127	1337	24	253	567	1577	108	299	698	1102
575	7	109	1	1131	700	202	122	698	1103
1	570	0	105	703	1272	128	236	700	1105
227	123	43	21	688	485	138	95	687	1116
330	481	66	94	928	1154	186	229	688	1116
1	631	0	120	182	810	39	158	688	1117
108	1	17	0	991	833	187	158	703	1122
983	413	191	85	1244	678	243	138	707	1126
995	794	207	156	1420	1216	292	240	710	1128
265	153	60	33	583	500	123	101	712	1129
393	213	76	40	1083	843	214	166	714	1130
