b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1350	1479	269	273	1487	1617	296	300	2	19
23	51	4	9	285	305	58	61	3	20
423	1311	79	257	681	1526	130	300	4	20
639	5	122	1	961	232	183	47	4	21
618	414	122	83	936	731	189	150	5	21
593	1	123	0	1479	697	300	136	6	22
1	697	0	136	789	1315	146	252	7	22
1456	13	262	2	1639	195	300	40	7	23
1	195	0	40	737	919	129	166	8	23
295	139	56	29	937	622	188	128	31	29
423	282	79	57	969	729	185	145	4	74
1350	1005	269	192	1508	1164	300	223	2	75
23	1193	4	228	285	1446	58	278	3	75
549	619	106	117	758	828	150	161	31	77
618	25	122	5	932	338	188	71	5	78
1456	338	262	71	1639	533	300	112	7	78
1	533	0	112	499	1032	86	200	8	78
