b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
665	1068	122	216	1163	1518	218	300	1	6136
713	772	133	153	1260	1441	237	287	1	6156
769	809	144	160	1303	1320	247	261	1	6174
775	29	145	5	1202	435	226	82	1	12007
669	21	123	4	1308	559	248	110	1	12009
1314	140	249	28	1558	380	299	78	1	14478
1	380	0	78	1151	1592	211	300	2	14478
1151	1	211	0	1568	406	300	83	2	14479
445	794	89	151	939	1323	192	262	5	20020
905	765	178	143	1050	893	209	170	9	15243
116	692	22	138	255	826	51	167	37	24458
1342	1190	267	228	1497	1348	298	259	42	15272
816	1290	167	257	1012	1480	211	300	129	5907
1036	402	215	75	1213	589	252	113	130	14017
178	1169	36	223	485	1450	99	282	134	20035
