b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
587	37	102	7	1753	1152	300	199	469	19
0	1152	0	199	577	1732	96	300	470	19
577	0	96	0	853	276	145	50	470	20
634	691	112	126	1210	1201	219	226	507	28
452	1009	73	183	1274	1622	219	300	512	30
457	311	74	54	757	616	127	114	512	31
1128	880	193	151	1735	1493	300	259	527	36
0	1493	0	259	199	1694	40	300	528	36
963	615	182	113	1655	1310	300	234	528	37
0	1310	0	234	486	1680	90	300	529	37
486	0	90	0	1544	1062	268	192	529	38
35	1062	6	192	585	1619	107	300	530	38
239	23	43	6	613	470	114	97	563	44
0	760	0	151	908	1638	151	300	564	44
908	0	151	0	1779	863	300	152	564	45
0	863	0	152	803	1707	134	300	565	45
146	484	28	81	840	1039	145	175	566	46
254	140	46	27	1594	1416	295	254	659	90
131	7	26	1	1473	1316	272	234	660	91
