b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
606	863	118	168	1170	1367	236	272	81	157
29	993	6	212	190	1162	41	248	94	1088
41	792	8	169	550	1145	108	242	311	228
930	1258	188	262	1107	1433	226	299	324	1024
1004	47	191	10	1476	788	286	160	325	2005
862	303	175	64	1070	560	220	120	328	2699
487	171	96	39	651	320	130	70	328	2738
344	6	64	1	741	394	141	78	335	233
700	954	158	204	983	1311	215	276	338	1293
1165	63	251	13	1380	292	297	61	338	1294
865	1009	156	216	1007	1179	186	251	339	1293
1155	411	234	84	1455	734	292	146	353	146
207	1291	41	243	462	1571	94	300	354	145
1	740	0	147	176	917	34	182	354	146
732	499	146	100	913	680	183	137	354	195
346	963	71	200	853	1437	177	299	356	1000
1206	354	231	77	1532	1009	300	215	359	1322
686	863	127	168	1252	1367	245	272	369	157
439	1041	86	218	638	1255	128	261	398	1636
53	1275	9	264	239	1477	43	300	402	652
239	1	43	0	715	109	142	23	402	653
372	537	71	113	715	876	142	183	402	1454
856	13	178	3	1318	433	277	94	404	112
76	916	15	195	390	1162	81	248	448	1088
1019	249	194	50	1341	555	258	109	579	2685
108	896	23	182	458	1287	91	261	589	147
1041	889	201	189	1408	1298	275	270	589	1288
12	914	2	197	446	1438	83	299	593	1315
446	20	83	4	652	221	124	45	593	1316
