b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
733	572	148	109	1168	1004	240	202	552	264
386	269	72	54	1163	1097	231	225	561	265
633	947	125	189	1157	1502	231	300	553	306
1206	616	241	125	1497	950	300	192	553	317
3	954	1	193	382	1342	76	268	554	317
1033	1342	212	268	1182	1491	242	298	554	317
1259	0	259	0	1455	205	300	44	554	318
0	205	0	44	1151	1372	238	282	555	318
216	0	40	0	1534	1368	300	274	556	319
1002	381	200	74	1534	977	300	189	556	320
0	977	0	189	161	1132	35	222	557	320
1153	335	217	66	1556	735	300	150	558	321
28	102	6	18	259	341	54	67	558	321
0	735	0	150	627	1414	132	291	559	321
745	285	155	55	1221	782	253	158	559	322
96	779	19	157	457	1185	89	239	560	322
1024	141	202	29	1500	666	300	137	341	1026
