b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
669	57	137	9	792	355	162	71	786	60
215	187	38	35	393	366	69	67	907	253
616	520	115	103	781	876	148	171	712	2806
898	853	169	171	1426	1508	275	300	793	3218
431	458	85	92	643	661	131	135	560	3251
527	983	99	199	1334	1472	270	300	789	3420
1101	1139	231	231	1259	1291	262	261	418	3517
845	1294	171	256	1018	1510	206	300	854	3518
949	750	187	140	1512	1358	300	262	426	3555
447	935	93	188	811	1183	166	237	872	4013
1	1108	0	223	164	1451	35	294	851	4070
216	320	44	66	457	563	92	114	852	4071
6	1	2	0	677	541	146	111	761	4120
677	736	123	135	806	980	147	182	815	4903
88	483	20	98	665	759	124	156	847	5414
459	961	86	190	807	1303	158	260	486	5897
259	1	50	0	475	250	95	51	265	6032
307	1	60	0	475	183	95	37	265	6219
182	84	35	16	1580	1395	300	265	824	6342
188	319	36	57	1527	1591	291	300	824	6353
