b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
986	960	194	195	1353	1386	273	284	594	16
131	90	27	19	789	707	161	144	753	22
455	404	89	75	1293	1284	265	264	754	23
345	691	67	142	875	1413	175	289	755	36
852	107	170	21	1265	695	258	148	755	37
436	1235	87	249	690	1444	138	290	756	40
128	11	25	2	604	527	119	101	757	47
925	633	180	126	1200	1320	235	261	544	147
321	471	63	99	756	709	149	146	767	298
297	1035	56	216	693	1428	136	296	803	560
698	4	137	1	1411	831	273	154	803	561
531	1192	111	237	761	1421	157	284	787	566
930	42	190	8	1471	429	291	83	787	567
632	460	123	91	1006	853	194	166	793	568
46	1282	8	251	317	1530	57	295	795	569
692	751	130	149	955	1052	188	216	807	680
0	1191	0	245	220	1392	44	285	808	680
180	1140	36	229	345	1403	68	281	720	700
706	204	138	44	1123	702	224	146	786	741
506	424	100	92	760	703	154	151	365	768
377	725	77	156	631	990	130	211	366	768
