b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
34	786	6	163	435	1210	93	253	60	1199
15	315	3	63	231	554	52	117	87	1079
564	841	111	173	1077	1394	219	289	88	1084
102	578	20	118	554	1042	116	216	89	354
592	821	127	169	984	1187	210	246	123	308
1353	478	274	97	1479	627	300	127	158	347
993	36	195	6	1344	451	264	87	177	663
1319	466	259	95	1524	735	298	147	177	664
494	513	98	106	1484	1460	300	300	178	659
1	1	0	0	1297	1303	264	264	179	660
1	138	0	31	1278	1469	259	300	181	664
1018	1063	210	217	1351	1461	282	300	182	672
46	1347	10	259	175	1476	35	284	183	680
294	1114	64	223	954	1481	201	300	184	667
1	63	0	12	1482	1158	297	235	266	690
228	1002	45	206	671	1475	139	300	267	690
671	1	139	0	1131	484	231	104	267	691
1140	441	223	93	1524	905	300	190	292	681
1	905	0	190	691	1276	140	266	293	681
1123	12	230	2	1466	292	300	59	298	582
130	364	25	66	472	739	98	145	337	959
1	868	0	173	579	1471	118	297	410	883
1171	1	226	0	1343	172	262	35	420	592
258	333	51	63	624	659	127	130	780	1183
553	935	115	186	839	1194	170	236	990	1091
