b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	876	0	161	777	1663	133	300	215	3
777	1	133	0	1672	766	300	143	215	4
1	766	0	143	806	1587	154	300	216	4
806	1	154	0	1682	719	300	122	216	5
76	738	14	125	1000	1688	186	300	217	5
1000	1	186	0	1657	619	300	110	217	6
1	619	0	110	1139	1652	205	300	218	6
1139	1	205	0	1683	452	300	78	218	7
1	452	0	78	1302	1615	242	300	219	7
1	296	0	56	1386	1601	257	300	220	8
1	222	0	44	1417	1524	271	300	221	9
1428	15	272	2	1568	156	300	31	221	10
1	156	0	31	1544	1501	293	296	222	10
