b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1106	1017	226	209	1269	1232	259	253	363	67
734	742	155	152	1322	1481	268	300	193	91
1322	1	268	0	1479	205	300	42	193	92
205	699	41	144	536	1043	109	216	194	94
1043	773	217	144	1403	1093	283	204	193	95
813	1126	159	229	1089	1321	218	269	1120	222
927	176	186	37	1214	543	249	116	943	258
226	469	49	96	335	572	75	120	838	290
915	577	176	107	1217	1069	234	203	917	364
596	1067	111	202	918	1338	180	262	248	387
1180	1120	241	213	1429	1389	293	269	228	403
1	1110	0	218	355	1312	66	256	1211	433
39	727	8	140	358	1093	77	219	1186	458
